"vre602","cd","ss","sh","cc","ed","mu","ext","address","white_a","white_i","black_a","black_i","hispanic_a","hispanic_i","asian_a","asian_i","other_a","other_i","total_a","total_i"
"01A",5,36,59,5,1,"01",813,"Parkside Elem School 685 Mercer St Se",1806,171,916,53,107,7,66,8,514,48,3409,287
"01B",5,36,59,5,1,"01",813,"Ormewood Park Presby. Church 1071 Delaware Avenue",2348,180,842,53,127,10,73,7,650,39,4040,289
"01C",5,36,59,5,1,"01",813,"Dobbs Elementary School 2025 Jonesboro Rd Se
Split (01C, 01S, 12F)",184,3,1282,57,28,1,9,1,209,13,1712,75
"01D",5,36,58,5,1,"01",817,"FanPlex
768 Hank Aaron Dr SE
Split (01D, 01E, 01F, 01G)",142,18,351,17,12,4,12,1,103,5,620,45
"01E",5,36,59,5,1,"01",813,"FanPlex
768 Hank Aaron Dr SE
Split (01D, 01E, 01F, 01G)",1885,169,908,46,72,3,48,5,505,56,3418,279
"01F",5,36,58,5,1,"01",817,"FanPlex
768 Hank Aaron Dr SE
Split (01D, 01E, 01F, 01G)",101,10,1183,55,23,1,13,0,212,13,1532,79
"01G",5,36,59,5,1,"01",813,"FanPlex
768 Hank Aaron Dr SE
Split (01D, 01E, 01F, 01G)",496,35,1276,57,37,5,29,2,337,18,2175,117
"01H",5,36,58,4,1,"01",818,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",75,7,622,28,16,0,5,1,114,8,832,44
"01J",5,36,59,5,1,"01",813,"Louise Watley Library at Southeast Atlanta 1463 Pryor Road Sw
Split (01J, 12S)",213,13,2013,89,37,1,11,2,414,25,2688,130
"01P",5,36,59,5,1,"01",813,"Bible Way Ministries 894 Constitution Rd",43,0,1128,41,17,0,0,0,174,9,1362,50
"01R",5,36,59,5,1,"01",813,"Thomasville Recreation Center 1835 Henry Thomas Dr",44,0,1301,52,22,0,6,0,149,8,1522,60
"01S",5,36,60,5,1,"01",816,"Dobbs Elementary School 2025 Jonesboro Rd Se
Split (01C, 01S, 12F)",84,5,1587,57,39,1,7,0,278,5,1995,68
"01T",5,36,59,5,1,"01",813,"Benteen Elem School 200 Cassanova St",388,32,919,47,94,4,16,0,266,12,1683,95
"02A",5,39,57,3,1,"02",819,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)",3171,363,593,64,187,22,269,27,796,146,5016,622
"02B",5,36,57,4,1,"02",820,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",836,70,2181,144,86,5,88,9,715,47,3906,275
"02C",5,36,58,4,1,"02",821,"Central Park Recreation Center 400 Merritts Ave NE
Split (02C, 02F1, 02F2, 05F)",745,127,719,61,82,12,60,9,333,55,1939,264
"02D",5,36,58,4,1,"02",821,"Butler Street Baptist Church 315 Ralph Mcgill Blvd
Split (02D, 05J, 06F)",2273,270,1527,83,154,18,189,21,733,119,4876,511
"02E",5,36,59,5,1,"02",822,"Little 5 Points Comm Center 1083 Austin Ave",1392,106,111,7,48,8,45,8,281,47,1877,176
"02F1",5,36,59,5,1,"02",822,"Central Park Recreation Center 400 Merritts Ave NE
Split (02C, 02F1, 02F2, 05F)",2059,285,262,17,106,13,110,13,453,92,2990,420
"02F2",5,36,58,4,1,"02",821,"Central Park Recreation Center 400 Merritts Ave NE
Split (02C, 02F1, 02F2, 05F)",360,60,293,21,15,1,31,2,119,18,818,102
"02G",5,36,58,4,1,"02",821,"Helene S. Mills Senior Center 515 John Wesley Dobbs Ave NE
Split (02G, 02S, 05K)",2249,283,513,40,104,10,118,15,578,94,3562,442
"02J",5,36,58,4,1,"02",821,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)",1468,169,216,12,74,5,59,7,343,61,2160,254
"02K",5,36,58,4,1,"02",821,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)",924,119,130,17,50,5,51,10,228,45,1383,196
"02L1",5,39,57,4,1,"02",823,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)",3853,526,912,91,276,34,333,38,1029,187,6403,876
"02L2",5,39,56,4,1,"02",824,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",1038,101,249,14,100,9,198,10,298,30,1883,164
"02S",5,36,58,4,1,"02",821,"Helene S. Mills Senior Center 515 John Wesley Dobbs Ave NE
Split (02G, 02S, 05K)",326,30,251,12,22,5,16,2,127,11,742,60
"02W",5,39,56,3,1,"02",825,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)",406,32,242,19,48,5,50,7,149,15,895,78
"03A",5,39,56,4,2,"03",826,"Allen Temple AME Church 1625 Joseph E. Boone Blvd Nw",89,3,1751,89,14,1,3,2,288,16,2145,111
"03B",5,38,56,4,2,"03",827,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)",21,1,547,39,6,1,3,0,98,8,675,49
"03C",5,38,56,4,2,"03",827,"Atlanta Police Athletic League 120 Anderson Ave Nw",47,3,1430,51,17,0,4,0,244,8,1742,62
"03D",5,39,56,4,2,"03",826,"Washington Park Library 1116 M L King Jr Dr Sw
Split (03D, 04A)",77,7,927,42,9,1,4,0,173,5,1190,55
"03E",5,39,56,4,2,"03",826,"Greater Bethany Baptist Church 786 Thurmond Street",119,3,2179,94,17,1,7,0,363,29,2685,127
"03F",5,39,56,3,2,"03",828,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)",769,108,579,52,91,16,175,16,397,50,2011,242
