

                                                                     REP - President of the United States
                                                            Donald J. Trump (I)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Appling                       1490                          1340                          408                           0                             3238                          3238                          
Atkinson                      609                           329                           423                           0                             1361                          1361                          
Bacon                         552                           907                           851                           0                             2310                          2310                          
Baker                         20                            41                            3                             1                             65                            65                            
Baldwin                       1330                          1785                          472                           0                             3587                          3587                          
Banks                         1237                          1487                          896                           2                             3622                          3622                          
Barrow                        3088                          4654                          734                           0                             8476                          8476                          
Bartow                        6548                          6698                          1301                          12                            14559                         14559                         
Ben Hill                      410                           680                           439                           0                             1529                          1529                          
Berrien                       1252                          1140                          622                           0                             3014                          3014                          
Bibb                          5163                          4910                          1030                          34                            11137                         11137                         
Bleckley                      677                           826                           181                           0                             1684                          1684                          
Brantley                      1444                          978                           1018                          2                             3442                          3442                          
Brooks                        744                           673                           253                           10                            1680                          1680                          
Bryan                         2186                          2219                          1234                          0                             5639                          5639                          
Bulloch                       3711                          4031                          1091                          13                            8846                          8846                          
Burke                         604                           820                           145                           0                             1569                          1569                          
Butts                         789                           1673                          850                           1                             3313                          3313                          
Calhoun                       52                            102                           8                             0                             162                           162                           
Camden                        2011                          2147                          442                           0                             4600                          4600                          
Candler                       529                           515                           466                           0                             1510                          1510                          
Carroll                       6332                          6993                          1949                          16                            15290                         15290                         
Catoosa                       3779                          3748                          2065                          12                            9604                          9604                          
Charlton                      824                           662                           434                           1                             1921                          1921                          
Chatham                       8461                          9036                          1124                          59                            18680                         18680                         
Chattahoochee                 117                           86                            41                            0                             244                           244                           
Chattooga                     1817                          1446                          953                           9                             4225                          4225                          
Cherokee                      13608                         18457                         3368                          24                            35457                         35457                         
Clarke                        1550                          3103                          349                           2                             5004                          5004                          
Clay                          71                            142                           65                            0                             278                           278                           
Clayton                       1221                          2711                          584                           6                             4522                          4522                          
Clinch                        551                           418                           561                           0                             1530                          1530                          
Cobb                          21207                         39455                         2771                          263                           63696                         63696                         
Coffee                        1985                          1712                          1228                          6                             4931                          4931                          
Colquitt                      2392                          2145                          599                           3                             5139                          5139                          
Columbia                      8167                          8180                          1008                          3                             17358                         17358                         
Cook                          811                           720                           323                           0                             1854                          1854                          
Coweta                        6988                          8548                          1727                          11                            17274                         17274                         
