line number,contest name,choice name,party name,total votes,percent of votes,num Precinct total,num Precinct rptg,over votes,under votes
1,REP - President of the United States,Donald J. Trump (I),REP,946944,100,159,159,0,0
2,DEM - President of the United States,Michael Bennet,DEM,5139,0.47,159,159,0,0
3,DEM - President of the United States,Joseph R. Biden,DEM,918739,84.86,159,159,0,0
4,DEM - President of the United States,Michael R. Bloomberg,DEM,7641,0.71,159,159,0,0
5,DEM - President of the United States,Pete Buttigieg,DEM,6329,0.58,159,159,0,0
6,DEM - President of the United States,John K. Delaney,DEM,1475,0.14,159,159,0,0
7,DEM - President of the United States,Tulsi Gabbard,DEM,4102,0.38,159,159,0,0
8,DEM - President of the United States,Amy Klobuchar,DEM,4305,0.4,159,159,0,0
9,DEM - President of the United States,Deval Patrick,DEM,1037,0.1,159,159,0,0
10,DEM - President of the United States,Bernie Sanders,DEM,101241,9.35,159,159,0,0
11,DEM - President of the United States,Tom Steyer,DEM,1748,0.16,159,159,0,0
12,DEM - President of the United States,Elizabeth Warren,DEM,21795,2.01,159,159,0,0
13,DEM - President of the United States,Andrew Yang,DEM,9089,0.84,159,159,0,0
14,REP - US Senate,David A. Perdue (I),REP,992105,100,159,159,0,0
15,DEM - US Senate,Sarah Riggs Amico,DEM,139120,11.77,159,159,0,0
16,DEM - US Senate,Marckeith DeJesus,DEM,45783,3.87,159,159,0,0
17,DEM - US Senate,James Knox,DEM,49301,4.17,159,159,0,0
18,DEM - US Senate,Tricia Carpenter McCracken,DEM,32350,2.74,159,159,0,0
19,DEM - US Senate,Jon Ossoff,DEM,624142,52.81,159,159,0,0
20,DEM - US Senate,Maya Dillard Smith,DEM,104593,8.85,159,159,0,0
21,DEM - US Senate,Teresa Pike Tomlinson,DEM,186673,15.79,159,159,0,0
22,REP - Public Service Commission Dist 4,"Lauren Bubba McDonald, Jr. (I)",REP,929538,100,159,159,0,0
23,DEM - Public Service Commission Dist 4,Daniel Blackman,DEM,759931,71.64,159,159,0,0
24,DEM - Public Service Commission Dist 4,John Noel,DEM,300856,28.36,159,159,0,0
25,REP - Public Service Commission Dist 1,Jason Shaw (I),REP,941662,100,159,159,0,0
26,DEM - Public Service Commission Dist 1,Robert G. Bryant,DEM,922521,100,159,159,0,0
27,REP - US House Dist 1,"Earl L. """"Buddy"""" Carter (I)",REP,65903,82.16,17,17,0,0
28,REP - US House Dist 1,Danny Merritt,REP,13154,16.4,17,17,0,0
29,REP - US House Dist 1,Ken Yasger,REP,1152,1.44,17,17,0,0
