county,age_2016prepri,age1829_2016prepri,age3044_2016prepri,age4560_2016prepri,age60plus_2016prepri,age1829reject_2016prepri,age3044reject_2016prepri,age4560reject_2016prepri,age60plusreject_2016prepri,white_2016prepri,black_2016prepri,hispanic_2016prepri,other_2016prepri,male_2016prepri,VBM2016gen_2016prepri,VBM2016prepri_2016prepri,VBM2016genpri_2016prepri,VBM2018gen_2016prepri,VBM2018genpri_2016prepri,partydem_2016prepri,partyrep_2016prepri,partynp_2016prepri,electionday_2016prepri,bymail_2016prepri,early_2016prepri,rejected_2016prepri,lateballot_2016prepri,WHreject_2016prepri,BHreject_2016prepri,HPreject_2016prepri,OTreject_2016prepri,votedpop_2016prepri,votedbymailpop_2016prepri,rejectedpop_2016prepri,whitepop_2016prepri,blackpop_2016prepri,hispanicpop_2016prepri,otherpop_2016prepri,asianpop_2016prepri,age_2020combopri,age1829_2020combopri,age3044_2020combopri,age4560_2020combopri,age60plus_2020combopri,age1829reject_2020combopri,age3044reject_2020combopri,age4560reject_2020combopri,age60plusreject_2020combopri,white_2020combopri,black_2020combopri,hispanic_2020combopri,other_2020combopri,male_2020combopri,VBM2016gen_2020combopri,VBM2016prepri_2020combopri,VBM2016genpri_2020combopri,VBM2018gen_2020combopri,VBM2018genpri_2020combopri,partydem_2020combopri,partyrep_2020combopri,partynp_2020combopri,electionday_2020combopri,bymail_2020combopri,early_2020combopri,newvoter_2020combopri,rejected_2020combopri,lateballot_2020combopri,WHreject_2020combopri,BHreject_2020combopri,HPreject_2020combopri,OTreject_2020combopri,votedpop_2020combopri,votedbymailpop_2020combopri,newvoterpop_2020combopri,rejectedpop_2020combopri,whitepop_2020combopri,blackpop_2020combopri,hispanicpop_2020combopri,otherpop_2020combopri,asianpop_2020combopri,county_code,county_age,county_age1829,county_age3044,county_age4560,county_age60plus,county_white,county_black,county_hispanic,county_other,datestr,state,fips,cases,deaths
APPLING,59.45467,.047830924,.1448832,.26001114,.54727477,.040697675,.007677543,.0085561499,.0096544717,.80531663,.10893928,.0059942664,.016685206,.43002346,.078882501,.058339965,.068976581,.077922076,.056412987,.17670055,.82329947,0,.81886894,.072973676,.10815741,.19642857,0,.19298245,.10810811,,.014084507,3837,280,55,3090,418,23,60,5,57.377174,.091843188,.14701232,.24391401,.51723045,0,0,0,0,.79703283,.1624053,.0061553032,.03050901,.44665405,.08012151,.061158482,.069487855,.094843462,.076179862,.22427399,.75189394,.023832072,.33522728,.4709596,.19381313,.0682896,0,.0028409092,0,0,0,0,6336,2984,432,0,5050,1029,39,193,15,1,49.956741,.18789396,.22096537,.24609274,.34504792,.71954066,.17839564,.018910283,.083153442,2020-06-09,Georgia,13001,197,13
ATKINSON,59.036091,.057218309,.13996479,.2684859,.53433096,.015384615,0,0,.0016474464,.77152318,.13907285,.011589404,.017605634,.43294701,.021968365,.009136213,.024390243,.030985916,.029045643,.21357615,.78642386,0,.82119203,.012417219,.16639073,.26666668,0,.2,,,0,1208,15,4,932,168,14,20,2,55.359241,.1066494,.15975821,.28367877,.44991365,0,0,0,0,.76120692,.18836206,.02586207,.022452503,.44913793,.030744337,.0076045627,.018099548,.036138359,.028187919,.22758621,.75086206,.021551725,.37931034,.34008622,.28060344,.087219343,0,0,0,0,0,0,2320,789,202,0,1766,437,60,52,1,2,48.123806,.22382672,.22531323,.24506265,.3057974,.67700148,.18899979,.071989805,.062008917,2020-06-09,Georgia,13003,62,2
BACON,59.223721,.039910063,.15964025,.26812816,.53232151,0,.0035211267,.002096436,.0021119325,.87473345,.038379531,.0037313432,.032040473,.45309168,.025167786,.013948498,.013718411,.03487673,.029494382,.097014926,.9029851,0,.76599145,.019189766,.21481876,.25,0,.2,0,,0,1876,36,9,1641,72,7,57,2,56.273632,.089415565,.17236736,.25666577,.48155132,.0090361442,0,.0020986358,.0016778524,.87947267,.076136671,.0064568198,.034742795,.46085551,.033311773,.013068181,.026525199,.049871299,.037600715,.093261458,.89676547,.0099730454,.19935432,.45036319,.35028249,.06948559,.0054127197,.0021522734,.0045283018,0,0,.040816326,3717,1674,258,8,3269,283,24,129,8,3,49.499107,.18410853,.23717949,.24985093,.32886106,.78070962,.13088849,.014460346,.073941559,2020-06-09,Georgia,13005,152,3
BAKER,60.969738,.040789474,.12368421,.25526315,.58026314,0,0,.010309278,.0090702949,.56625003,.36375001,.0024999999,.018421052,.42250001,.09554974,.058154237,.0311042,.087022901,.10714286,.45500001,.54500002,0,.7475,.068750001,.18375,.13207547,0,.14285715,.1,,.083333336,800,55,7,453,291,2,14,0,58.276703,.08387097,.12831542,.25376344,.53405017,0,0,0,.0013422819,.5776664,.38869005,.0042949175,.027956989,.45597708,.098073557,.059431523,.037113402,.1147086,.12448133,.90121686,.097351469,.0014316392,.2519685,.54545456,.20257695,.073118277,.0014619883,.0042949175,0,.0036900369,0,0,1397,762,102,1,807,543,6,39,0,4,52.059757,.16115889,.20325939,.2444545,.3911272,.51561791,.41240379,.0095065637,.062471706,2020-06-09,Georgia,13007,37,3
BALDWIN,59.282303,.059235193,.14846289,.24093977,.55136216,.0063291141,.0033670033,.0020746889,.0081595648,.58774406,.32733473,.0035285815,.019370157,.39778876,.053363118,.025155727,.04190002,.058314472,.026179368,.46348944,.53639257,.00011796626,.76076216,.03846154,.20077629,.22818792,0,.097560972,.28676471,0,0,8502,327,68,4997,2783,30,155,37,57.844448,.093497276,.13665621,.23526984,.53457665,0,.0024154589,.0021045248,.0015436864,.53957665,.41619307,.0056832223,.030945702,.41611069,.067192897,.029676259,.044480756,.087607853,.030149776,.55843836,.41973478,.021826867,.26735854,.53652912,.19611235,.057435222,.0038102495,.0038711803,.0020718232,.0056127221,0,.0062111802,12141,6514,696,20,6551,5053,69,375,70,5,49.427185,.19593267,.229673,.23953319,.33486116,.51827604,.4037669,.0080114007,.069945693,2020-06-09,Georgia,13009,393,29
BANKS,58.473549,.047558494,.15462869,.29577824,.5020346,.0053475937,0,0,.0015197569,.91205847,.0077953716,.0031668697,.035350967,.47697929,.031917568,.022004889,.027423715,.032880437,.028957529,.087169439,.91087168,.0019588638,.8496955,.024604142,.12570037,.059999999,0,.039473683,0,0,.052631579,4105,101,6,3744,32,13,139,4,56.476097,.09210296,.15583961,.27368236,.47837508,0,0,0,0,.93067229,.014705882,.0085784318,.041148659,.48616946,.040307499,.025110783,.028944582,.042927228,.036548607,.10136554,.88497901,.013655462,.24597339,.50717789,.24684873,.072141483,0,0,0,0,0,0,5712,2897,412,0,5316,84,49,235,27,6,48.69199,.19527847,.23512636,.26269507,.30690011,.86540443,.020121999,.02170641,.092767172,2020-06-09,Georgia,13011,99,1
BARROW,56.391483,.046340179,.21153991,.29240954,.44971037,.0048701297,.00035561877,.00077180343,.0021746403,.81016582,.073612109,.016798846,.05499135,.43799567,.035363015,.017385006,.047410969,.039457358,.024243638,.17258041,.82734746,.000072118855,.80165827,.020403748,.177938,.12367491,0,.10555556,.07692308,,0,13870,283,35,11237,1021,233,731,71,56.261082,.094878942,.16789638,.25359347,.48363119,.0051843319,.0016276041,.0017241379,.0018081139,.76466089,.12815332,.025445014,.071377821,.4354046,.056269445,.024050228,.052052476,.069036409,.034835037,.30091733,.6794256,.019657092,.277165,.5706563,.15217866,.080723614,.0048381095,.0035491972,.0034612964,.0055370987,.031055901,.010791367,18314,10451,1477,39,14004,2347,466,1306,174,7,46.529865,.21048854,.27927589,.25252524,.25771031,.70210093,.11213377,.052065954,.13369934,2020-06-09,Georgia,13013,356,20
BARTOW,57.040024,.052733913,.1726182,.30957463,.46507326,.011690647,.0030219781,.00091911765,.0034669114,.83639848,.057363208,.0098571628,.058993693,.45749098,.030225607,.013681021,.019983828,.034710392,.01575911,.17444089,.82551348,.00004564126,.81230319,.0181171,.1695797,.20256411,0,.19795223,.1,0,.05952381,21913,397,79,18328,1257,216,1244,42,56.409672,.093798071,.15101489,.27449068,.48069635,.0156,.0072049689,.0060142153,.0046050576,.8227663,.093959734,.013010385,.065508574,.44895205,.049852151,.019383498,.028591599,.058201779,.022584228,.24540682,.7298463,.024746906,.32664692,.54636121,.12699187,.074663267,.014636652,.0095984405,.013300843,.022610484,.01980198,.019690577,26671,14572,1990,171,21944,2506,347,1746,110,8,47.385307,.20673296,.25197124,.2666052,.27469063,.75281322,.09552829,.030403871,.12125465,2020-06-09,Georgia,13015,527,39
BEN HILL,60.092125,.039004456,.14635958,.25,.56463593,.01904762,0,0,.0052631581,.65828091,.2620545,.003144654,.017087666,.3951782,.034057971,.022448264,.037516169,.039123632,.028052805,.34797892,.65131807,.00070298772,.70789659,.02620545,.26589796,.13333334,0,.25641027,0,,0,2862,75,10,1884,750,9,46,3,60.108757,.056123722,.12297331,.22998254,.59092045,0,0,0,.00042211905,.6362052,.3378984,.0024900399,.017959591,.42206174,.0365243,.023076924,.03365659,.072289154,.03961039,.41633466,.56025898,.023406375,.1999502,.49327689,.30677292,.063108005,.00061274512,.0052290838,0,.0017006802,0,0,4016,1981,253,1,2555,1357,10,72,15,9,49.700932,.18649918,.23549718,.23271647,.34528717,.58642507,.34560445,.016393442,.051395148,2020-06-09,Georgia,13017,93,1
BERRIEN,59.035263,.040302265,.16246851,.27550378,.52172542,.0078125,0,0,.0048280023,.84997046,.062020082,.0026580035,.024559194,.45540461,.048447207,.03180737,.044198897,.04712218,.04005168,.14821428,.85119045,.00059523812,.77288836,.036916714,.19019492,.12,0,.10126583,.083333336,,0,3386,125,15,2878,210,9,78,1,57.760342,.079627112,.15847738,.24664983,.51524568,0,.0061274511,.0015748031,.00075386354,.88074464,.083963543,.0058173356,.026995532,.47139809,.066372707,.038267147,.050412465,.073823996,.052385408,.15163855,.83362418,.01473725,.29842931,.48322669,.218344,.063313268,.0045294412,.015512895,.0045924224,.0054644807,0,0,5157,2492,326,9,4542,433,30,139,5,10,49.230953,.18661344,.24250403,.25312155,.31776097,.82731676,.1026926,.014949461,.055041198,2020-06-09,Georgia,13019,59,0
