party,yearofreg,weekofreg,c,cumulative_c
D,2008,1,6746,6746
D,2008,2,1810,8556
D,2008,3,1385,9941
D,2008,4,1771,11712
D,2008,5,2767,14479
D,2008,6,4344,18823
D,2008,7,1652,20475
D,2008,8,1671,22146
D,2008,9,1753,23899
D,2008,10,1518,25417
D,2008,11,1358,26775
D,2008,12,1084,27859
D,2008,13,1218,29077
D,2008,14,1257,30334
D,2008,15,1204,31538
D,2008,16,1392,32930
D,2008,17,1184,34114
D,2008,18,1293,35407
D,2008,19,1311,36718
D,2008,20,1178,37896
D,2008,21,1107,39003
D,2008,22,1378,40381
D,2008,23,1852,42233
R,2008,1,4506,4506
R,2008,2,1874,6380
R,2008,3,1305,7685
R,2008,4,1630,9315
R,2008,5,2161,11476
R,2008,6,3182,14658
R,2008,7,1336,15994
R,2008,8,1490,17484
R,2008,9,1392,18876
R,2008,10,1272,20148
R,2008,11,1084,21232
R,2008,12,1003,22235
R,2008,13,1109,23344
R,2008,14,1072,24416
R,2008,15,1059,25475
R,2008,16,1139,26614
R,2008,17,1110,27724
R,2008,18,1263,28987
R,2008,19,1232,30219
R,2008,20,1224,31443
R,2008,21,1078,32521
R,2008,22,1427,33948
R,2008,23,1719,35667
D,2012,1,1275,1275
D,2012,2,1086,2361
D,2012,3,1269,3630
D,2012,4,1552,5182
D,2012,5,1751,6933
D,2012,6,1859,8792
D,2012,7,1274,10066
D,2012,8,1410,11476
D,2012,9,1578,13054
D,2012,10,2077,15131
D,2012,11,1625,16756
D,2012,12,1487,18243
D,2012,13,1391,19634
D,2012,14,1201,20835
D,2012,15,1292,22127
D,2012,16,1364,23491
D,2012,17,1418,24909
D,2012,18,1311,26220
D,2012,19,1402,27622
D,2012,20,1403,29025
D,2012,21,1327,30352
D,2012,22,1460,31812
D,2012,23,1597,33409
R,2012,1,1232,1232
R,2012,2,1332,2564
R,2012,3,1258,3822
R,2012,4,1784,5606
R,2012,5,1949,7555
R,2012,6,1925,9480
R,2012,7,1149,10629
R,2012,8,1249,11878
R,2012,9,1414,13292
R,2012,10,2251,15543
R,2012,11,1311,16854
R,2012,12,1064,17918
R,2012,13,1112,19030
R,2012,14,971,20001
R,2012,15,1022,21023
R,2012,16,1119,22142
R,2012,17,1118,23260
R,2012,18,1010,24270
R,2012,19,1106,25376
R,2012,20,1102,26478
R,2012,21,1319,27797
R,2012,22,1163,28960
R,2012,23,1521,30481
D,2016,1,1931,1931
D,2016,2,2357,4288
D,2016,3,2608,6896
D,2016,4,5815,12711
D,2016,5,8054,20765
D,2016,6,1494,22259
D,2016,7,1346,23605
D,2016,8,2276,25881
D,2016,9,6402,32283
D,2016,10,1677,33960
D,2016,11,1708,35668
D,2016,12,1580,37248
D,2016,13,1823,39071
D,2016,14,2158,41229
D,2016,15,2082,43311
D,2016,16,1666,44977
D,2016,17,2234,47211
D,2016,18,1268,48479
D,2016,19,1299,49778
D,2016,20,1413,51191
D,2016,21,1798,52989
D,2016,22,1250,54239
D,2016,23,1536,55775
R,2016,1,2137,2137
R,2016,2,2521,4658
R,2016,3,2759,7417
R,2016,4,6065,13482
R,2016,5,7801,21283
R,2016,6,1185,22468
R,2016,7,1049,23517
R,2016,8,1626,25143
R,2016,9,3927,29070
R,2016,10,1126,30196
R,2016,11,1170,31366
R,2016,12,1113,32479
R,2016,13,1081,33560
R,2016,14,1295,34855
R,2016,15,1164,36019
R,2016,16,1072,37091
R,2016,17,1437,38528
R,2016,18,870,39398
R,2016,19,862,40260
R,2016,20,931,41191
R,2016,21,1180,42371
R,2016,22,910,43281
R,2016,23,1092,44373
D,2020,1,2448,2448
D,2020,2,2426,4874
D,2020,3,2619,7493
D,2020,4,3135,10628
D,2020,5,3288,13916
D,2020,6,3247,17163
D,2020,7,4339,21502
D,2020,8,9059,30561
D,2020,9,2028,32589
D,2020,10,2159,34748
D,2020,11,1767,36515
D,2020,12,1087,37602
D,2020,13,971,38573
D,2020,14,1111,39684
D,2020,15,1113,40797
D,2020,16,1544,42341
D,2020,17,1179,43520
D,2020,18,1598,45118
D,2020,19,2114,47232
D,2020,20,3,47235
D,2020,22,1,47236
D,2020,23,1,47237
R,2020,1,1792,1792
R,2020,2,1908,3700
R,2020,3,1857,5557
R,2020,4,1994,7551
R,2020,5,2296,9847
R,2020,6,2335,12182
R,2020,7,2997,15179
R,2020,8,5415,20594
R,2020,9,1437,22031
R,2020,10,1500,23531
R,2020,11,1183,24714
R,2020,12,846,25560
R,2020,13,717,26277
R,2020,14,919,27196
R,2020,15,932,28128
R,2020,16,1008,29136
R,2020,17,858,29994
R,2020,18,1058,31052
R,2020,19,1542,32594
R,2020,20,4,32598
R,2020,22,2,32600
R,2020,23,3,32603
