year,county,rejected,rejectedsum,votedpop
2020,APPLING,0,0,2729
2020,ATKINSON,0,0,749
2020,BACON,.0052083335,8,1536
2020,BAKER,.0013623978,1,734
2020,BALDWIN,.0035733429,20,5597
2020,BANKS,0,0,2410
2020,BARROW,.004957858,40,8068
2020,BARTOW,.013849518,171,12347
2020,BEN HILL,.0005899705,1,1695
2020,BERRIEN,.0041246563,9,2182
2020,BIBB,.0072852941,156,21413
2020,BLECKLEY,0,0,1446
2020,BRANTLEY,0,0,1460
2020,BROOKS,.01856018,33,1778
2020,BRYAN,.0079348935,39,4915
2020,BULLOCH,.0034631002,29,8374
2020,BURKE,.0013594344,5,3678
2020,BUTTS,.0039322446,13,3306
2020,CALHOUN,.012658228,11,869
2020,CAMDEN,.011288299,63,5581
2020,CANDLER,.0092764376,10,1078
2020,CARROLL,.0036086051,52,14410
2020,CATOOSA,.013439385,98,7292
2020,CHARLTON,.0049191848,7,1423
2020,CHATHAM,.011987626,434,36204
2020,CHATTAHOOCHEE,0,0,315
2020,CHATTOOGA,.012605042,33,2618
2020,CHEROKEE,.0021781686,79,36269
2020,CLARKE,.0078248177,134,17125
2020,CLAY,.010593221,5,472
2020,CLAYTON,.010841602,295,27210
2020,CLINCH,0,0,635
2020,COBB,.0087097678,1057,121358
2020,COFFEE,.0014088475,5,3549
2020,COLQUITT,.013398961,49,3657
2020,COLUMBIA,.014349145,265,18468
2020,COOK,.0099009899,17,1717
2020,COWETA,.013025619,241,18502
2020,CRAWFORD,.0053655263,8,1491
2020,CRISP,.0027999999,7,2500
2020,DADE,.0016172507,3,1855
2020,DAWSON,.0022039672,11,4991
2020,DECATUR,.014564713,44,3021
2020,DEKALB,.011917356,1318,110595
2020,DODGE,0,0,2077
2020,DOOLY,0,0,1200
2020,DOUGHERTY,.033563081,336,10011
2020,DOUGLAS,.010276811,186,18099
2020,EARLY,.0054054055,9,1665
2020,ECHOLS,0,0,413
2020,EFFINGHAM,.015169002,92,6065
2020,ELBERT,.0034708832,9,2593
2020,EMANUEL,.0044444446,12,2700
2020,EVANS,.0041390727,5,1208
2020,FANNIN,.0044194455,22,4978
2020,FAYETTE,.009727153,200,20561
2020,FLOYD,.0055530677,62,11165
2020,FORSYTH,.010761797,343,31872
2020,FRANKLIN,.0028728128,11,3829
2020,FULTON,.010365516,1028,99175
2020,GILMER,.0079380078,42,5291
2020,GLASCOCK,0,0,584
2020,GLYNN,.023772797,262,11021
2020,GORDON,.013232514,77,5819
2020,GRADY,.012824956,37,2885
2020,GREENE,.0048981695,19,3879
2020,GWINNETT,.014221815,1399,98370
2020,HABERSHAM,.00013144058,1,7608
2020,HALL,.000039285012,1,25455
2020,HANCOCK,.018192155,32,1759
2020,HARALSON,0,0,4365
2020,HARRIS,.006497229,34,5233
2020,HART,.0062500001,22,3520
2020,HEARD,.0048163757,8,1661
2020,HENRY,.013385311,388,28987
2020,HOUSTON,.012104043,235,19415
2020,IRWIN,.0048000002,6,1250
2020,JACKSON,0,0,10186
2020,JASPER,0,0,2100
2020,JEFF DAVIS,.0024855013,3,1207
2020,JEFFERSON,0,0,2689
2020,JENKINS,.0042046253,6,1427
2020,JOHNSON,0,0,951
2020,JONES,.0069064065,29,4199
2020,LAMAR,.0062682824,15,2393
2020,LANIER,.0036764706,3,816
2020,LAURENS,.0036139137,24,6641
2020,LEE,.0068762279,28,4072
2020,LIBERTY,.019354839,111,5735
2020,LINCOLN,0,0,1441
2020,LONG,.014659686,14,955
2020,LOWNDES,.0003629764,3,8265
2020,LUMPKIN,.0028571428,16,5600
