ballotissueweek,ballotissueweek2,bymail,electionday,rejected,cancelled,lateballot,reason_returnedlate,reason_signature,reason_address,reason_other,issued
3/4,21978,.99978089,.00021908205,.0005477051,.1073502,0,.40000001,.60000002,0,0,9129
3/11,21985,.99957317,.00042680325,0,.23545313,0,,,,,7029
3/18,21992,1,0,.0021739129,.31043479,0,.40000001,.40000001,0,.2,2300
3/25,21999,.98275864,.017241379,.017241379,.43103448,.034482758,.5,.5,0,0,116
4/1,22006,.97104675,.02895323,.017817372,.20044543,.046770602,.625,.375,0,0,449
4/8,22013,.96562034,.034379672,.0089686103,.17937219,.0059790732,.16666667,.33333334,0,.5,669
4/15,22020,.9675743,.032425698,.0044299951,.076498084,.0095575973,.62189472,.37305263,0,.0050526317,536118
4/22,22027,.96138459,.038615402,.0070649073,.081601202,.013476866,.59088111,.39802834,0,.011090573,229727
4/29,22034,.96185136,.038148627,.0082518021,.083481312,.013729791,.63080168,.36497891,0,.0042194091,172326
5/6,22041,.96167523,.038324744,.0090448391,.08297161,.014582932,.67769897,.31757289,0,.0047281324,140301
5/13,22048,.96145386,.038546156,.013632299,.092331953,.020011453,.74355197,.25202653,0,.0044215182,99543
5/20,22055,.95733529,.042664718,.026542759,.1024538,.03878041,.84264356,.15263572,0,.0047206925,47885
5/27,22062,.94955689,.050443105,.043400612,.1140277,.060383461,.89363354,.10170808,0,.0046583852,29677
6/3,22069,.91516435,.084835634,.086874947,.13483971,.10938902,.96338028,.035680752,0,.00093896716,12259
