OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,GlobalID,SHAPE_Length,SHAPE_Area
1,O142,44,3,10,C,4,14,A122, ,0,{4C97BEA1-A110-4C43-BDED-94E384A8B0AC},0.187290282171932,0.000791177890521831
2,A130,28,3,10,C,5,14, , ,0,{7A55611B-9B09-498A-8C49-7CD2BB090F58},0.303654212078795,0.00176010141387319
3,A121,28,3,10,C,4,14, , ,0,{8969D6F9-642C-46CC-BAA7-1CBC0E882B81},0.073246614864837,0.000258310956550866
4,A142,28,3,10,C,5,14,J139p, ,0,{1247D570-1A36-4E9A-9939-058F6F474C5B},0.0292556946865466,4.22899546899138e-05
5,I154,37,3,38,B,5,23,Q133, ,0,{8372EC3D-6F17-4A31-B55E-787BE86BCC94},0.0675698229486428,0.000114441828789274
6,J138,38,3,37,C,4,25, , ,0,{206FBC53-7A93-42DF-A9E7-9A18E5A60476},0.0367930460814287,5.22160535204999e-05
7,I152,37,3,38,B,5,23,Q128, ,0,{41538F9A-F432-4A19-930F-409B22E824C6},0.0628956678765628,0.000188621736510155
8,B173,29,3,38,B,7,22,B167, ,0,{3111E241-BB6D-4899-A500-C7DB2BF4FC80},0.174622108954756,0.00102591116396812
9,I141,37,3,38,B,5,13,B131p, ,0,{A57E318A-AB71-40B1-AFF9-E8A97D783CBC},0.101807667899391,0.000374388064568488
10,B177,29,3,14,B,7,20, , ,0,{94B96A4D-5574-4876-AEDC-85B7004C445F},0.175315502010262,0.000744830018130381
11,H162,35,3,38,B,5,24,H145p, ,0,{280A4350-AF43-480F-9874-03AD04BE2B58},0.0539139705450721,9.44928092362886e-05
12,A140,28,3,37,C,4,25,B119/J138p, ,0,{D7AE1FE3-AA41-4F05-AE97-5078980DA932},0.0749385893286932,0.000170243320593649
13,A139,28,3,10,C,5,25,A129p, ,0,{03CBF85B-6CAF-4A74-9222-19D27DF07E69},0.0561664693261212,0.0001351307401337
14,I148,37,3,38,B,7,23,B180, ,0,{BAA7FFA2-87B1-4983-B046-92393A99A9D3},0.123085746528763,0.000590165128838101
15,I153,37,3,38,B,7,23,Q129, ,0,{63C3AF33-DE6E-4E42-B2B6-D682088C5FF6},0.0679411635521268,0.000206757357552947
16,I145,37,3,38,B,5,13,B127, ,0,{F3BE13BF-DD4C-4798-8833-2575FE8ADA2E},0.0774593751228833,8.46464256875238e-05
17,J145,38,3,37,C,4,25,A137,Dry,0,{921FE331-18D9-4542-952E-9C04B827F3D2},0.0477601061669301,0.000125031424382558
18,A119,28,3,37,C,4,14, ,pDry,0,{E2AFD100-58C6-4A50-9120-3256F782BFA0},0.0498323438976626,0.000138090819134323
19,O134,44,3,10,C,4,14, , ,0,{0DED4475-408A-4C95-A9EF-4D047FBC71FE},0.150542058590756,0.000926530603759303
