,full_addr,lon,lat
1,"100 North Drive, Sewickley 15143",-80.1394312,40.5324105
2,"217 Commercial Avenue, Pittsburgh 15215",-79.9043584,40.49042
3,"721 California Avenue, Pittsburgh 15202",-80.0663706,40.5009265
4,"3344 Churchview Avenue, Pittsburgh 15227",-79.9569164,40.3834152
5,"10 Community Park, Pittsburgh 15234",-80.0177363,40.3796558
6,"1850 Big Sewickley Creek Road, Sewickley 15143",-80.1673872,40.6050404
7,"537 Bayne Avenue, Pittsburgh 15202",-80.0563301,40.4967504
8,"7219 Church Avenue, Pittsburgh 15202",-80.085033,40.5087324
9,"One Windmere Road, Pittsburgh 15202",-80.0690518,40.5146376
10,"309 Church Road, Bethel Park 15102",-80.0417037,40.333245
11,"376 Freeport Road, Pittsburgh 15238",-79.85998,40.4942047
12,"124-128 Morgan Street, Brackenridge 15014",-79.7389798,40.6041762
13,"445 Sixth Street, Braddock 15104",-79.8672742,40.4041605
14,"2794 Columbia Avenue, Pittsburgh 15221",-79.8686651,40.4241263
15,"41 Forest Road, Bradford Woods 15015",-80.0735728,40.6334134
16,"3501 Brownsville Road, Pittsburgh 15227",-79.9749948,40.3749283
17,"370 Commercial Street, Bridgeville 15017",-80.1069573,40.3619659
18,"One Veterans Way, Carnegie 15106",-80.0924101,40.4043741
19,"3724 Myrtle Avenue, Pittsburgh 15234",-80.0242363,40.3676417
20,"218 North Avenue, East Pittsburgh 15112",-79.8405067,40.4084692
21,"1411 Spruce Street, Cheswick 15024",-79.8000369,40.5427324
22,"33 Lewin Lane, Pittsburgh 15235",-79.8454301,40.4354846
23,"551 Ravensburg Boulevard, Clairton 15025",-79.8946942,40.2961601
24,"2418 Hilltop Road, Presto 15142",-80.1105895,40.3888243
25,"412 Mulberry Street, Coraopolis 15108",-80.1628553,40.5172572
26,"One American Legion Plaza, Pittsburgh 15205",-80.0680024,40.4359065
27,"225 Spring Run Road, Crescent 15046",-80.222145,40.555166
28,"1801 Dormont Avenue, Pittsburgh 15216",-80.0429601,40.396775
