Group.1,Group.2,Group.3,Group.4,Group.5,Group.6,x
F,R,FOREST,AP,D,vote00_04/04/2000,1
M,R,FOREST,AP,R,vote00_04/04/2000,1
M,R,ARMSTRONG,AP,AM,vote00_11/07/2000,1
M,C,ADAMS,AP,C,vote00_11/07/2000,1
M,C,ARMSTRONG,AP,C,vote00_11/07/2000,2
F,D,ADAMS,AB,D,vote00_11/07/2000,45
M,D,ADAMS,AB,D,vote00_11/07/2000,26
F,R,ADAMS,AB,D,vote00_11/07/2000,1
M,R,ADAMS,AB,D,vote00_11/07/2000,4
F,D,ARMSTRONG,AB,D,vote00_11/07/2000,32
M,D,ARMSTRONG,AB,D,vote00_11/07/2000,21
F,R,ARMSTRONG,AB,D,vote00_11/07/2000,7
M,R,ARMSTRONG,AB,D,vote00_11/07/2000,2
F,D,BEAVER,AB,D,vote00_11/07/2000,196
M,D,BEAVER,AB,D,vote00_11/07/2000,111
F,NF,BEAVER,AB,D,vote00_11/07/2000,1
F,R,BEAVER,AB,D,vote00_11/07/2000,8
M,R,BEAVER,AB,D,vote00_11/07/2000,9
F,D,WARREN,AB,D,vote00_11/07/2000,1
M,D,WARREN,AB,D,vote00_11/07/2000,2
U,D,WARREN,AB,D,vote00_11/07/2000,2
F,D,ADAMS,AP,D,vote00_11/07/2000,1971
M,D,ADAMS,AP,D,vote00_11/07/2000,1363
U,D,ADAMS,AP,D,vote00_11/07/2000,12
F,GR,ADAMS,AP,D,vote00_11/07/2000,2
F,I,ADAMS,AP,D,vote00_11/07/2000,6
M,I,ADAMS,AP,D,vote00_11/07/2000,5
U,I,ADAMS,AP,D,vote00_11/07/2000,1
F,INDE,ADAMS,AP,D,vote00_11/07/2000,1
M,LN,ADAMS,AP,D,vote00_11/07/2000,1
F,NF,ADAMS,AP,D,vote00_11/07/2000,11
M,NF,ADAMS,AP,D,vote00_11/07/2000,7
F,OTH,ADAMS,AP,D,vote00_11/07/2000,1
M,OTH,ADAMS,AP,D,vote00_11/07/2000,4
M,PR,ADAMS,AP,D,vote00_11/07/2000,1
F,R,ADAMS,AP,D,vote00_11/07/2000,122
M,R,ADAMS,AP,D,vote00_11/07/2000,94
F,D,ARMSTRONG,AP,D,vote00_11/07/2000,1913
M,D,ARMSTRONG,AP,D,vote00_11/07/2000,1607
U,D,ARMSTRONG,AP,D,vote00_11/07/2000,20
M,GR,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,I,ARMSTRONG,AP,D,vote00_11/07/2000,4
M,I,ARMSTRONG,AP,D,vote00_11/07/2000,2
F,INDE,ARMSTRONG,AP,D,vote00_11/07/2000,1
M,LN,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,NF,ARMSTRONG,AP,D,vote00_11/07/2000,5
M,NF,ARMSTRONG,AP,D,vote00_11/07/2000,6
F,OTH,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,R,ARMSTRONG,AP,D,vote00_11/07/2000,206
M,R,ARMSTRONG,AP,D,vote00_11/07/2000,178
U,R,ARMSTRONG,AP,D,vote00_11/07/2000,6
F,AI,BEAVER,AP,D,vote00_11/07/2000,1
F,D,BEAVER,AP,D,vote00_11/07/2000,7833
M,D,BEAVER,AP,D,vote00_11/07/2000,6030
U,D,BEAVER,AP,D,vote00_11/07/2000,3
F,GR,BEAVER,AP,D,vote00_11/07/2000,1
M,GR,BEAVER,AP,D,vote00_11/07/2000,2
F,I,BEAVER,AP,D,vote00_11/07/2000,9
M,I,BEAVER,AP,D,vote00_11/07/2000,10
F,INDE,BEAVER,AP,D,vote00_11/07/2000,1
M,INDE,BEAVER,AP,D,vote00_11/07/2000,2
F,LN,BEAVER,AP,D,vote00_11/07/2000,1
M,LN,BEAVER,AP,D,vote00_11/07/2000,1
F,NF,BEAVER,AP,D,vote00_11/07/2000,32
M,NF,BEAVER,AP,D,vote00_11/07/2000,27
F,NO,BEAVER,AP,D,vote00_11/07/2000,1
M,NON,BEAVER,AP,D,vote00_11/07/2000,1
F,OTH,BEAVER,AP,D,vote00_11/07/2000,2
M,OTH,BEAVER,AP,D,vote00_11/07/2000,4
F,R,BEAVER,AP,D,vote00_11/07/2000,481
M,R,BEAVER,AP,D,vote00_11/07/2000,453
U,R,BEAVER,AP,D,vote00_11/07/2000,14
M,D,CLEARFIELD,AP,D,vote00_11/07/2000,1
U,D,CLEARFIELD,AP,D,vote00_11/07/2000,1
F,D,WARREN,AP,D,vote00_11/07/2000,16
M,D,WARREN,AP,D,vote00_11/07/2000,12
U,D,WARREN,AP,D,vote00_11/07/2000,22
U,R,WARREN,AP,D,vote00_11/07/2000,1
F,D,BEAVER,P,D,vote00_11/07/2000,1
M,D,BEAVER,P,D,vote00_11/07/2000,1
M,R,BEAVER,P,D,vote00_11/07/2000,1
F,R,ADAMS,AB,I,vote00_11/07/2000,1
F,I,BEAVER,AB,I,vote00_11/07/2000,1
F,I,ADAMS,AP,I,vote00_11/07/2000,2
M,I,ADAMS,AP,I,vote00_11/07/2000,1
M,R,ADAMS,AP,I,vote00_11/07/2000,2
F,I,ARMSTRONG,AP,I,vote00_11/07/2000,5
M,I,ARMSTRONG,AP,I,vote00_11/07/2000,3
F,R,ARMSTRONG,AP,I,vote00_11/07/2000,1
F,D,BEAVER,AP,I,vote00_11/07/2000,2
F,I,BEAVER,AP,I,vote00_11/07/2000,6
M,I,BEAVER,AP,I,vote00_11/07/2000,7
F,R,BEAVER,AP,I,vote00_11/07/2000,2
M,R,BEAVER,AP,I,vote00_11/07/2000,3
U,I,WARREN,AP,I,vote00_11/07/2000,1
F,R,ADAMS,AP,ID,vote00_11/07/2000,1
M,D,ARMSTRONG,AP,ID,vote00_11/07/2000,1
F,D,ADAMS,AP,LN,vote00_11/07/2000,1
M,LN,ADAMS,AP,LN,vote00_11/07/2000,2
M,LN,ARMSTRONG,AP,LN,vote00_11/07/2000,1
M,R,ARMSTRONG,AP,LN,vote00_11/07/2000,1
F,LN,BEAVER,AP,LN,vote00_11/07/2000,1
M,LN,BEAVER,AP,LN,vote00_11/07/2000,1
F,NF,BEAVER,AB,NF,vote00_11/07/2000,1
F,D,ADAMS,AP,NF,vote00_11/07/2000,1
F,NF,ADAMS,AP,NF,vote00_11/07/2000,3
M,NF,ADAMS,AP,NF,vote00_11/07/2000,8
F,R,ADAMS,AP,NF,vote00_11/07/2000,1
F,I,ARMSTRONG,AP,NF,vote00_11/07/2000,1
F,NF,ARMSTRONG,AP,NF,vote00_11/07/2000,3
M,NF,ARMSTRONG,AP,NF,vote00_11/07/2000,1
M,R,ARMSTRONG,AP,NF,vote00_11/07/2000,1
F,D,BEAVER,AP,NF,vote00_11/07/2000,4
M,D,BEAVER,AP,NF,vote00_11/07/2000,2
F,LN,BEAVER,AP,NF,vote00_11/07/2000,1
F,NF,BEAVER,AP,NF,vote00_11/07/2000,1
M,NF,BEAVER,AP,NF,vote00_11/07/2000,8
F,R,BEAVER,AP,NF,vote00_11/07/2000,3
M,R,BEAVER,AP,NF,vote00_11/07/2000,5
U,NF,WARREN,AP,NF,vote00_11/07/2000,1
F,NO,ARMSTRONG,AP,NO,vote00_11/07/2000,4
M,NO,ARMSTRONG,AP,NO,vote00_11/07/2000,4
F,R,ARMSTRONG,AP,NO,vote00_11/07/2000,1
M,R,ARMSTRONG,AP,NO,vote00_11/07/2000,2
F,D,ADAMS,AP,NOP,vote00_11/07/2000,2
M,D,ADAMS,AP,NOP,vote00_11/07/2000,1
M,NF,ADAMS,AP,NOP,vote00_11/07/2000,1
F,NOP,ADAMS,AP,NOP,vote00_11/07/2000,20
M,NOP,ADAMS,AP,NOP,vote00_11/07/2000,17
F,OTH,ADAMS,AP,NOP,vote00_11/07/2000,1
F,R,ADAMS,AP,NOP,vote00_11/07/2000,3
M,R,ADAMS,AP,NOP,vote00_11/07/2000,5
F,D,ARMSTRONG,AP,NOP,vote00_11/07/2000,1
F,NOP,ARMSTRONG,AP,NOP,vote00_11/07/2000,2
M,R,ARMSTRONG,AP,NOP,vote00_11/07/2000,1
F,D,BEAVER,AB,OTH,vote00_11/07/2000,1
M,OTH,BEAVER,AB,OTH,vote00_11/07/2000,1
F,D,BEAVER,AP,OTH,vote00_11/07/2000,3
M,D,BEAVER,AP,OTH,vote00_11/07/2000,4
F,I,BEAVER,AP,OTH,vote00_11/07/2000,1
M,NF,BEAVER,AP,OTH,vote00_11/07/2000,1
F,OTH,BEAVER,AP,OTH,vote00_11/07/2000,21
M,OTH,BEAVER,AP,OTH,vote00_11/07/2000,34
F,R,BEAVER,AP,OTH,vote00_11/07/2000,11
M,R,BEAVER,AP,OTH,vote00_11/07/2000,14
M,PP,BEAVER,AP,PP,vote00_11/07/2000,1
