,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
MUNICIPAL OWNED BLDG,ALEPPO,15143,ALEPPO TOWNSHIP MUNICIPAL BUILDING- 100 NORTH DRIVE, 100 NORTH DRIVE," 100 NORTH DRIVE, ALEPPO"," 100 NORTH DRIVE, ALEPPO, Pennsylvania, 15143"
MUNICIPAL OWNED BLDG,ASPINWALL,15215,ASPINWALL MUNICIPAL BUILDING- 217 COMMERCIAL AVE., 217 COMMERCIAL AVE.," 217 COMMERCIAL AVE., ASPINWALL"," 217 COMMERCIAL AVE., ASPINWALL, Pennsylvania, 15215"
VOL FIRE STATIONS,ASPINWALL,15215,ASPINWALL FIRE DEPT. #2- 201 12TH STREET, 201 12TH STREET," 201 12TH STREET, ASPINWALL"," 201 12TH STREET, ASPINWALL, Pennsylvania, 15215"
PRIVATE SCHOOL,ASPINWALL,15215,ST SCHOLASTICA SCHOOL- 300 MAPLE AVE., 300 MAPLE AVE.," 300 MAPLE AVE., ASPINWALL"," 300 MAPLE AVE., ASPINWALL, Pennsylvania, 15215"
MUNICIPAL OWNED BLDG,AVALON,15202,AVALON MUNICIPAL BUILDING- 640 CALIFORNIA AVE., 640 CALIFORNIA AVE.," 640 CALIFORNIA AVE., AVALON"," 640 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
LIBRARY,AVALON,15202,AVALON PUBLIC LIBRARY- CONF ROOM- 317 S. HOME AVE., CONF ROOM- 317 S. HOME AVE.," CONF ROOM- 317 S. HOME AVE., AVALON"," CONF ROOM- 317 S. HOME AVE., AVALON, Pennsylvania, 15202"
CHURCH/TEMPLE,AVALON,15202,1012 CALIFORNIA AVE- EPIPHANY CHURCH 1ST FLOOR, EPIPHANY CHURCH 1ST FLOOR," EPIPHANY CHURCH 1ST FLOOR, AVALON"," EPIPHANY CHURCH 1ST FLOOR, AVALON, Pennsylvania, 15202"
NORTHGATE SCHOOL DIST.,AVALON,15202,AVALON ELEMENTARY SCHOOL- 721 CALIFORNIA AVE., 721 CALIFORNIA AVE.," 721 CALIFORNIA AVE., AVALON"," 721 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
CHURCH/TEMPLE,AVALON,15202,GREENSTONE UNITED METHODIST CHURCH- 939 CALIFORNIA AVE., 939 CALIFORNIA AVE.," 939 CALIFORNIA AVE., AVALON"," 939 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
CHURCH/TEMPLE,AVALON,15212,GREENSTONE UNITED METHODIST CHURCH- 939 CALIFORNIA AVE., 939 CALIFORNIA AVE.," 939 CALIFORNIA AVE., AVALON"," 939 CALIFORNIA AVE., AVALON, Pennsylvania, 15212"
SENIOR CENTERS,BALDWIN BORO,15227,LAFFERTY CTR.- 330 JOSEPH ST., 330 JOSEPH ST.," 330 JOSEPH ST., BALDWIN BORO"," 330 JOSEPH ST., BALDWIN BORO, Pennsylvania, 15227"
SENIOR CENTERS,BALDWIN BORO,15227,LAFFERTY CTR.- 330 JOSEPH ST., 330 JOSEPH ST.," 330 JOSEPH ST., BALDWIN BORO"," 330 JOSEPH ST., BALDWIN BORO, Pennsylvania, 15227"
MUNICIPAL OWNED BLDG,BALDWIN BORO,15227,BOROUGH OF BALDWIN MUNICIPAL BUILDING- 3344 CHURCHVIEW AVE., 3344 CHURCHVIEW AVE.," 3344 CHURCHVIEW AVE., BALDWIN BORO"," 3344 CHURCHVIEW AVE., BALDWIN BORO, Pennsylvania, 15227"
PRIVATE SCHOOL,BALDWIN BORO,15227,ST ALBERT THE GREAT- 3198 SCHIECK STREET, 3198 SCHIECK STREET," 3198 SCHIECK STREET, BALDWIN BORO"," 3198 SCHIECK STREET, BALDWIN BORO, Pennsylvania, 15227"
VOL FIRE STATIONS,BALDWIN BORO,15236,OPTION INDEPENDENT FIRE CO- 825 STREETS RUN RD., 825 STREETS RUN RD.," 825 STREETS RUN RD., BALDWIN BORO"," 825 STREETS RUN RD., BALDWIN BORO, Pennsylvania, 15236"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15236,MCANNULTY ELEMENTARY SCHOOL- 5151 MCANNULTY RD. , 5151 MCANNULTY RD. ," 5151 MCANNULTY RD. , BALDWIN BORO"," 5151 MCANNULTY RD. , BALDWIN BORO, Pennsylvania, 15236"
COMMUNITY CENTER,BALDWIN BORO,15236,LELAND PARK COM HOUSE- 374 KNOEDLER RD., 374 KNOEDLER RD.," 374 KNOEDLER RD., BALDWIN BORO"," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15236,MCANNULTY ELEMENTARY SCHOOL- 5151 MCANNULTY RD., 5151 MCANNULTY RD.," 5151 MCANNULTY RD., BALDWIN BORO"," 5151 MCANNULTY RD., BALDWIN BORO, Pennsylvania, 15236"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15227,WALLACE BUILDING- 41 MACEK DR., 41 MACEK DR.," 41 MACEK DR., BALDWIN BORO"," 41 MACEK DR., BALDWIN BORO, Pennsylvania, 15227"
COMMUNITY CENTER,BALDWIN BORO,15236,LELAND PARK COM HOUSE- 374 KNOEDLER RD., 374 KNOEDLER RD.," 374 KNOEDLER RD., BALDWIN BORO"," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
COMMUNITY CENTER,BALDWIN BORO,15236,LELAND PARK COM HOUSE- 374 KNOEDLER RD., 374 KNOEDLER RD.," 374 KNOEDLER RD., BALDWIN BORO"," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
PRIVATE SCHOOL,BALDWIN BORO,15227,ST ALBERT THE GREAT- 3198 SCHIECK STREET, 3198 SCHIECK STREET," 3198 SCHIECK STREET, BALDWIN BORO"," 3198 SCHIECK STREET, BALDWIN BORO, Pennsylvania, 15227"
