"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","ARCHER CO. COURTHOUSE ANNEX - ARCHER CO. COURTHOUSE ANNEX MEETING ROOM","112 EAST WALNUT STREET ARCHER CITY TX 76351 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","ARCHER COUNTY ACTIVITY BUILDING - ARCHER COUNTY ACTIVITY BUILDING","512 WEST COTTONWOOD ARCHER CITY TX 76351 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","HOLLIDAY CITY HALL - HOLLIDAY CITY HALL","110 WEST OLIVE STREET TX 76366 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","HOLLIDAY COMMUNITY CENTER - HOLLIDAY COMMUNITY CENTER","201 NORTH WALNUT STREET HOLLIDAY TX 76366 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","LAKESIDE CITY BAPTIST CHURCH - LAKESIDE CITY BAPTIST CHURCH","3384 STATE HWY 79 SOUTH WICHITA FALLS TX 76310 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","LAKESIDE CITY MUNCIPAL BUILDING - LAKESIDE CITY MUNICIPAL BUILDING","42 DONNA STREET LAKESIDE CITY TX 76308 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","MEGARGEL CITY HALL - MEGARGEL CITY HALL","902 CEDAR STREET MEGARGEL TX 76370 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","SCOTLAND KNIGHTS OF COLUMBUS HALL - SCOTLAND KNIGHTS OF COLUMBUS HALL","12538 U S HWY 281 SCOTLAND TX 76379 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ARCHER","WINDTHORST ISD - HIGH SCHOOL LIBRARY","100 ST MARY'S ST WINDTHORST TX 76389 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ARCHER","ARCHER CO. COURTHOUSE ANNEX - ARCHER CO. COURTHOUSE ANNEX MEETING ROOM","112 EAST WALNUT STREET ARCHER CITY TX 76351 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ARCHER","ARCHER COUNTY ACTIVITY BUILDING - ARCHER COUNTY ACTIVITY BUILDING","512 WEST COTTONWOOD ARCHER CITY TX 76351 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ARCHER","HOLLIDAY CITY HALL - HOLLIDAY CITY HALL","110 WEST OLIVE STREET TX 76366 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ARCHER","HOLLIDAY COMMUNITY CENTER - HOLLIDAY COMMUNITY CENTER","201 NORTH WALNUT STREET HOLLIDAY TX 76366 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
