"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","ATASCOSA COUNTY ANNEX II BUILDING - LOBBY DEM.","914 N. MAIN STREET JOURDANTON TX ","EARLY VOTING","02/18/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","CAMPBELLTON COMMUNITY HALL - DEMOCRATIC","305 ST. FRANCIS ST. CAMPBELLTON TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","CHARLOTTE FIRST BAPTIST CHURCH HALL - DEMOCRATIC PARTY","173 S. YULE AVE. CHARLOTTE, TEXAS TX 78011 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","COMMUNITY CHRISTIAN CHURCH - LOBBY DEM","12487 N SH 16 POTEET TX 78065 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","HORACE FINCHER CENTER - DEMOCRAT","14620 PRIEST BLVD LYTLE TX 78052 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","IGLESIA BAUTISTA EL CALVARIO - DEM LOBBY","811 OAK ST JOURDANTON TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","JOURDANTON COMMUNITY CENTER - DEMOCRATIC PARTY","1101 CAMPBELL AVE JOURDANTON TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","JUSTICE OF THE PEACE #2 - COURT ROOM","1567 FM 3175 LYTLE TX 78052 ","EARLY VOTING","02/18/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","JUSTICE OF THE PEACE PCT #2 - DEM - LYTLE, TX.","1567 FM 3175 LYTLE TX 78052 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","JUSTICE OF THE PEACE PCT. 4 - COURT ROOM","744 HWY 281 SOUTH PLEASANTON TX 78064 ","EARLY VOTING","02/18/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","LEMING SCHOOL - DEM PARTY","25 E. 5TH ST. LEMING TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","MCCOY WATER SUPPLY OFFICE - BOARD ROOM DEMOCRAT","2125 FM 541 MCCOY TX 78113 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","PLEASANTON CIVIC CTR - DEM - PLEASANTON","115 N MAIN PLEASANTON TX 78064 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","POTEET EMS - LOBBY","551 BROADWAY ST. POTEET TX 78065 ","EARLY VOTING","02/18/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","POTEET VFW POST 6970 - DEM PARTY","9655 N. SH 16 POTEET TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","ROSSVILLE HISTORICAL COMMUNITY BLDG. - DEM PARTY","515 FM 2504 POTEET TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ATASCOSA","ST. PHILLIPS CATHOLIC CHURCH HALL - DEM PARTY","274 AVE. H POTEET TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9"
