"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","BANDERA HIGH SCHOOL - IN THE BAND HALL HALLWAY","474 OLD SAN ANTONIO HWY. BANDERA TX 78003 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","BANDERA ISD BUS BARN - BUS BARN","1576 HWY 173 S. BANDERA TX 78003 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","407"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","LAKEHILLS AREA LIBRARY - GED CLASSROOM","7200 FM 1283 LAKEHILLS LAKEHILLS TX 78063 ","EARLY VOTING","02/18/2020-02/21/2020 07:30 AM-05:30 PM; 02/24/2020-02/28/2020 07:30 AM-05:30 PM","101, 102, 203, 204, 305, 306, 407, 408, 409, 410"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","LAKEHILLS AREA LIBRARY - GED CLASSROOM","7200 FM 1283 LAKEHILLS LAKEHILLS TX 78063 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","LAKEHILLS CIVIC CENTER - LAKEHILLS CIVIC CENTER","11225 PARK RD. 37 LAKEHILLS TX 78063 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","204"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","LAKESHORE V.F.D. - LAKESHORE VOLUNTEER FIRE DEPT.","9019 WHARTON DOCK RD. BANDERA TX 78003 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","MEDINA TAX OFFICE ANNEX - ELECTION ROOM","161 E PARKER ST MEDINA TX 78055 ","EARLY VOTING","02/18/2020-02/21/2020 07:30 AM-05:30 PM; 02/24/2020-02/28/2020 07:30 AM-05:30 PM","101, 102, 203, 204, 305, 306, 407, 408, 409, 410"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","MEDINA TAX OFFICE ANNEX - ELECTION ROOM","161 E PARKER ST MEDINA TX 78055 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","306"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","PIPE CREEK VOL FIRE DEPT - PIPE CREEK VOL FIRE DEPT.","1378 FM 1283 PIPE CREEK TX 78063 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BANDERA","RAY MAUER ANNEX - ELECTION ROOM","403 12TH STREET BANDERA TX 78003 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 07:30 AM-05:30 PM; 02/24/2020-02/24/2020 07:30 AM-05:30 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 07:30 AM-05:30 PM","101, 102, 203, 204, 305, 306, 407, 408, 409, 410"
