"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","A & E STORAGE - A & E STORAGE","4907 E. HWY 190 TEMPLE TX 76502 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BELTON - BELL COUNTY ANNEX - BELL COUNTY ANNEX","550 E. 2ND AVE BELTON TX 76513 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 12:00 PM-05:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BELTON - BELL COUNTY ANNEX - BELL COUNTY ANNEX","550 E. 2ND AVE BELTON TX 76513 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BELTON NAZARENE CHURCH - BELTON NAZARENE CHURCH","1701 SPARTA RD BELTON TX 76513 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BELTON SENIOR CENTER - BELTON SENIOR CENTER","842 S. MITCHELL BELTON TX 76513 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BETHEL ASSEMBLY OF GOD - BETHEL ASSEMBLY OF GOD","22621 SE H K DODGEN LOOP 363 TEMPLE TX 76504 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","BLISS COMMUNITY CENTER - BLISS COMMUNITY CENTER","109 S. EVANS LITTLE RIVER ACADEMY TX 76554 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","CENTRAL FIRE STATION - CENTRAL FIRE STATION","201 NORTH 28TH STREET KILLEEN TX 76541 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","CHRIST THE KING CATHOLIC CHURCH - PARISH HALL","210 E. 24TH ST. BELTON TX 76513 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","CROSS CHURCH ON BIRDCREEK - CROSS CHURCH ON BIRDCREEK","2202 BIRDCREEK DR TEMPLE TX 76502 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","DESTINY OUTREACH CHURCH - DESTINY OUTREACH CHURCH","101 N. W.S. YOUNG DR. KILLEEN TX 76541 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","FIRST BAPTIST CHURCH MOFFAT - FIRST BAPTIST CHURCH MOFFAT","13929 MOFFAT RD TEMPLE TX 76502 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","FIRST BAPTIST CHURCH OF ROGERS - FIRST BAPTIST CHURCH OF ROGERS","5 W. PRAIRIE ROGERS TX 76569 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","FIRST BAPTIST CHURCH OF TRIMMIER - FIRST BAPTIST CHURCH OF TRIMMIER","6405 CHAPARRAL RD KILLEEN TX 76542 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BELL","FIRST CHURCH OF THE NAZARENE - FIRST CHURCH OF THE NAZARENE","5000 S. 31ST. ST TEMPLE TX 76502 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 113, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 401, 402, 404, 405, 406, 407, 408, 409, 410, 412, 413"
