"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","102 BLANCO MASONIC HALL - BLANCO MASONIC HALL","501 11TH ST BLANCO TX 78606 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","201 GOOD SHEPHERD CATHOLIC CHURCH - GOOD SHEPHERD CATHOLIC CHURCH","285 281 LOOP RD JOHNSON CITY TX 78636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","302 BLANCO COUNTY COURTHOUSE ANNEX - HOPPE ROOM","101 E. CYPRESS ST. JOHNSON CITY TX 78636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","303 COMMISSIONER PCT 3 BARN - COMMISSIONER PCT 3 BARN","862 RANCH RD 962 E ROUND MOUNTAIN TX 78663 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","304 ST. LUKE'S EPISCOPAL CHURCH - ST. LUKE'S EPISCOPAL CHURCH","263 SPUR RANCH RD 962 E CYPRESS MILL TX 78663 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","304"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","401 SOUTH BLANCO COUNTY ANNEX - SOUTH BLANCO COUNTY ANNEX","402 BLANCO AVE BLANCO TX 78606 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM; 02/23/2020-02/23/2020 11:00 AM-03:00 PM; 02/24/2020-02/28/2020 07:30 AM-07:30 PM","102, 201, 302, 303, 304, 401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","401 SOUTH BLANCO COUNTY ANNEX - SOUTH BLANCO COUNTY ANNEX","402 BLANCO AVE BLANCO TX 78606 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BLANCO","BLANCO COUNTY ANNEX - CONFERENCE ROOM","101 E. CYPRESS ST. JOHNSON CITY, TEXAS TX 78636 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM; 02/23/2020-02/23/2020 11:00 AM-03:00 PM; 02/24/2020-02/28/2020 07:30 AM-07:30 PM","102, 201, 302, 303, 304, 401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","102 BLANCO MASONIC HALL - BLANCO MASONIC HALL","501 11TH ST BLANCO TX 78606 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","201 GOOD SHEPHERD CATHOLIC CHURCH - GOOD SHEPHERD CATHOLIC CHURCH","285 281 LOOP RD JOHNSON CITY TX 78636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","302 BLANCO COUNTY COURTHOUSE ANNEX - HOPPE ROOM","101 E. CYPRESS ST. JOHNSON CITY TX 78636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","303 COMMISSIONER PCT 3 BARN - COMMISSIONER PCT 3 BARN","862 RANCH RD 962 E ROUND MOUNTAIN TX 78663 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","304 ST. LUKE'S EPISCOPAL CHURCH - ST. LUKE'S EPISCOPAL CHURCH","263 SPUR RANCH RD 962 E CYPRESS MILL TX 78663 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","304"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","401 SOUTH BLANCO COUNTY ANNEX - SOUTH BLANCO COUNTY ANNEX","402 BLANCO AVE BLANCO TX 78606 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM; 02/23/2020-02/23/2020 11:00 AM-03:00 PM; 02/24/2020-02/28/2020 07:30 AM-07:30 PM","102, 201, 302, 303, 304, 401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","401 SOUTH BLANCO COUNTY ANNEX - SOUTH BLANCO COUNTY ANNEX","402 BLANCO AVE BLANCO TX 78606 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BLANCO","BLANCO COUNTY ANNEX - CONFERENCE ROOM","101 E. CYPRESS ST. JOHNSON CITY, TEXAS TX 78636 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM; 02/23/2020-02/23/2020 11:00 AM-03:00 PM; 02/24/2020-02/28/2020 07:30 AM-07:30 PM","102, 201, 302, 303, 304, 401"
