"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","1A - FIRST BAPTIST CHURCH FELLOWSHIP HALL","124 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","1B - PLAINS COMMUNITY CENTER","2300  FM 1054 O'DONNELL TX 79351 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1B"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","2A - BORDEN COUNTY COURTHOUSE","117 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2A"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","2B - VEALMOOR ELECTION BLDG","651 CR 236 BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2B"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","3A - MURPHY ELECTION BLDG","650 CR 383 COAHOMA TX 79511 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3A"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","3B - FAIRVIEW ELECTION BLDG","100 CR 383 IRA TX 79527 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3B"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","4- COUNTY COURTROOM - COUNTY COURTROOM","117 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BORDEN","EARLY VOTING - COUNTY/DISTRICT CLERK'S OFFICE","117 EAST WASSON GAIL TX 79738 ","EARLY VOTING","02/18/2020-02/21/2020 01:00 PM-05:00 PM; 02/18/2020-02/21/2020 08:00 AM-12:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/28/2020 01:00 PM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-12:00 PM","1A, 1B, 2A, 2B, 3A, 3B, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","1A - FIRST BAPTIST CHURCH FELLOWSHIP HALL","124 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","1B - PLAINS COMMUNITY CENTER","2300  FM 1054 O'DONNELL TX 79351 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1B"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","2A - BORDEN COUNTY COURTHOUSE","117 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","2B - VEALMOOR ELECTION BLDG","651 CR 236 BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2B"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","3A - MURPHY ELECTION BLDG","650 CR 383 COAHOMA TX 79511 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","3B - FAIRVIEW ELECTION BLDG","100 CR 383 IRA TX 79527 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3B"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","4- COUNTY COURTROOM - COUNTY COURTROOM","117 E. WASSON GAIL TX 79738 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","BORDEN","EARLY VOTING - COUNTY/DISTRICT CLERK'S OFFICE","117 EAST WASSON GAIL TX 79738 ","EARLY VOTING","02/18/2020-02/21/2020 01:00 PM-05:00 PM; 02/18/2020-02/21/2020 08:00 AM-12:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM; 02/24/2020-02/28/2020 01:00 PM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-12:00 PM","1A, 1B, 2A, 2B, 3A, 3B, 4"
