"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","ALPINE NEIGHBORHOOD CENTER - ALPINE NEIGHBORHOOD CENTER","607 W GALLEGO ALPINE TX 79830 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","BREWSTER COUNTY OFFICES - OLD FOOD BANK - BREWSTER COUNTY OFFICES - OLD FOOD BANK","2209 W HWY 90 ALPINE TX 79830 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","CIVIC CENTER - ALPINE CITY COUNCIL CHAMBERS","803 WEST HOLLAND ALPINE TX 79830 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","J.W. PATTILLO COMMUNITY CENTER - J.W. PATTILLO COMMUNITY CENTER","100 HWY 118 TERLINGUA TX 79852 ","EARLY VOTING","02/28/2020-02/28/2020 09:00 AM-05:00 PM","5, 6, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","J.W. PATTILLO COMMUNITY CENTER - J.W. PATTILLO COMMUNITY CENTER","100 HWY 118 TERLINGUA TX 79852 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","JUDGE VAL CLARK BEARD OFFICE COMPLEX - JUDGE VAL CLARK BEARD OFFICE COMPLEX","203 N 7TH STREET ALPINE TX 79830 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-05:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/28/2020 08:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","JUDGE VAL CLARK BEARD OFFICE COMPLEX - JUDGE VAL CLARK BEARD OFFICE COMPLEX","203 N 7TH STREET ALPINE TX 79830 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","MARATHON COMMUNITY CENTER - MARATHON COMMUNITY CENTER","103 EAST 2ND STREET MARATHON TX 79842 ","EARLY VOTING","02/28/2020-02/28/2020 09:00 AM-05:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","MARATHON COMMUNITY CENTER - MARATHON COMMUNITY CENTER","103 EAST 2ND STREET MARATHON TX 79842 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","BREWSTER","PANTHER JUNCTION COMMUNITY ROOM - PANTHER JUNCTION COMMUNITY ROOM","1 BIG BEND NATIONAL PARK BBNP TX 79834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
