"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","AUSTIN ELEMENTARY SCHOOL - AUSTIN ELEMENTARY SCHOOL","700 E. AUSTIN HARLINGEN TX 78550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","35"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BENAVIDES ELEMENTARY SCHOOL - BENAVIDES ELEMENTARY SCHOOL","3101 MCALLEN RD. BROWNSVILLE TX 78520 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","98"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BESTERIO MIDDLE SCHOOL - BESTERIO MIDDLE SCHOOL","6280 SOUTHMOST RD BROWNSVILLE TX 78521 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","53"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BOB CLARK SOCIAL SERVICES CENTER - BOB CLARK SOCIAL SERVICES CENTER","9901 CALIFORNIA RD. BROWNSVILLE TX 78521 ","EARLY VOTING","02/18/2020-02/21/2020 09:00 AM-07:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 09:00 AM-02:00 PM; 02/24/2020-02/26/2020 09:00 AM-07:00 PM; 02/27/2020-02/28/2020 08:00 AM-08:00 PM","1, 10, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 8, 80, 81, 82, 83, 84, 85, 86, 87, 88, 9, 95, 96, 97, 98, 99"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BONITA PARK COMMUNITY BUILDING - BONITA PARK COMMUNITY BUILDING","601 S. RANGERVILLE HARLINGEN TX 78552 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 23, 43, 79"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BOWIE ELEMENTARY SCHOOL - BOWIE ELEMENTARY SCHOOL","309 W LINCOLN ST HARLINGEN TX 78552 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","31, 41"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BROWNSVILLE COUNTRY CLUB - GOLF CENTER","1800 W. SAN MARCELO BLVD BRONSVILLE TX 78526 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","73"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BROWNSVILLE PUBLIC LIBRARY - BROWNSVILLE PUBLIC LIBRARY","2600 CENTRAL BLVD BROWNSVILLE TX 78520 ","EARLY VOTING","02/18/2020-02/21/2020 09:00 AM-07:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 09:00 AM-02:00 PM; 02/24/2020-02/26/2020 09:00 AM-07:00 PM; 02/27/2020-02/28/2020 08:00 AM-08:00 PM","1, 10, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 8, 80, 81, 82, 83, 84, 85, 86, 87, 88, 9, 95, 96, 97, 98, 99"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BROWNSVILLE PUBLIC LIBRARY - SOUTHMOST BRANCH - BROWNSVILLE PUBLIC LIBRARY - SOUTHMOST BRANCH","4320 SOUTHMOST RD TX 78521 ","EARLY VOTING","02/18/2020-02/21/2020 09:00 AM-07:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 09:00 AM-02:00 PM; 02/24/2020-02/26/2020 09:00 AM-07:00 PM; 02/27/2020-02/28/2020 08:00 AM-08:00 PM","1, 10, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 8, 80, 81, 82, 83, 84, 85, 86, 87, 88, 9, 95, 96, 97, 98, 99"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CAMERON","BROWNSVILLE PUBLIC LIBRARY - SOUTHMOST BRANCH - BROWNSVILLE PUBLIC LIBRARY - SOUTHMOST BRANCH","4320 SOUTHMOST RD TX 78521 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","70"
