"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","CHURCH OF CHRIST - CHURCH OF CHRIST","308 WEST BRYAN EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","306"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","COUNTY CLERK'S OFFICE - COURTHOUSE","152 N. ROBERTS PAINT ROCK TX 76866 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","101, 102, 203, 204, 205, 306, 407, 408"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","COURTHOUSE ANNEX - REAR DOOR CONCHO","159 N ROBERTS ST. PAINT ROCK TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","EDEN FIRE HALL - EDEN FIRE HALL","107 MEDDERS EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","408"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","FIRST BAPTIST CHURCH - FIRST BAPTIST CHURCH","100 BURLESON EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","LOWAKE COMMUNITY CENTER - LOWAKE COMMUNITY CENTER","24440 FM 381 LOWAKE TX 76855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","LUTHERAN CHURCH - LUTHERAN CHURCH","701 W. BROADWAY EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","205"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","MILLERSVIEW SENIOR CITIZENS BUILDING - MILLERSVIEW SENIOR CITIZENS BUILDING","8060 FM 765 EAST MILLERSVIEW TX 76862 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","407"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CONCHO","ST. ISIDORE'S CCD BUILDING - ST. ISIDORE'S CCD BUILDING","11943 CR 5503 EOLA TX 76937 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","204"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","CHURCH OF CHRIST - CHURCH OF CHRIST","308 WEST BRYAN EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","306"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","COUNTY CLERK'S OFFICE - COURTHOUSE","152 N. ROBERTS PAINT ROCK TX 76866 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","101, 102, 203, 204, 205, 306, 407, 408"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","COURTHOUSE ANNEX - REAR DOOR CONCHO","159 N ROBERTS ST. PAINT ROCK TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","101"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","EDEN FIRE HALL - EDEN FIRE HALL","107 MEDDERS EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","408"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","FIRST BAPTIST CHURCH - FIRST BAPTIST CHURCH","100 BURLESON EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","102"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","LOWAKE COMMUNITY CENTER - LOWAKE COMMUNITY CENTER","24440 FM 381 LOWAKE TX 76855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","203"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","LUTHERAN CHURCH - LUTHERAN CHURCH","701 W. BROADWAY EDEN TX 76837 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","205"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","MILLERSVIEW SENIOR CITIZENS BUILDING - MILLERSVIEW SENIOR CITIZENS BUILDING","8060 FM 765 EAST MILLERSVIEW TX 76862 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","407"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CONCHO","ST. ISIDORE'S CCD BUILDING - ST. ISIDORE'S CCD BUILDING","11943 CR 5503 EOLA TX 76937 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-06:00 PM","204"
