"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","COURTHOUSE BASEMENT - COURTHOUSE BASEMENT (DEM)","201 W ASPEN CROSBYTON TX 79322 ","EARLY VOTING","",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","COURTHOUSE BASEMENT - COURTHOUSE BASEMENT (DEM)","201 W ASPEN CROSBYTON TX 79322 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","27"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","EARLY VOTING - COURTHOUSE EARLY VOTING (DEM)","201 W ASPEN 1ST FLOOR CROSBYTON TX 79322 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM","11, 27, 39, 44"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","LORENZO COMMUNITY CENTER - LORENZO COMMUNITY CENTER (DEM)","409 VAN BUREN LORENZO TX 79343 ","EARLY VOTING","",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","LORENZO COMMUNITY CENTER - LORENZO COMMUNITY CENTER (DEM)","409 VAN BUREN LORENZO TX 79343 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","39"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","RALLS CHAMBER OF COMMERCE OFFICE - RALLS CHAMBER (DEM)","808 AVE I RALLS TX 79357 ","EARLY VOTING","",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","RALLS CHAMBER OF COMMERCE OFFICE - RALLS CHAMBER (DEM)","808 AVE I RALLS TX 79357 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","RALLS HIGH SCHOOL GYMNASIUM - RALLS HIGH SCHOOL GYM (DEM)","1017 AVE L RALLS TX 79357 ","EARLY VOTING","",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CROSBY","RALLS HIGH SCHOOL GYMNASIUM - RALLS HIGH SCHOOL GYM (DEM)","1017 AVE L RALLS TX 79357 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","44"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","COURTHOUSE BASEMENT - COURTHOUSE BASEMENT (REP)","201 W ASPEN CROSBYTON TX 79322 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","COURTHOUSE BASEMENT - COURTHOUSE BASEMENT (REP)","201 W ASPEN CROSBYTON TX 79322 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","27"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","EARLY VOTING - COURTHOUSE EARLY VOTING (REP)","201 W ASPEN 1ST FLOOR CROSBYTON TX 79322 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM","11, 27, 39, 44"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","LORENZO COMMUNITY CENTER - LORENZO COMMUNITY CENTER (REP)","409 VAN BUREN LORENZO TX 79343 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","LORENZO COMMUNITY CENTER - LORENZO COMMUNITY CENTER (REP)","409 VAN BUREN LORENZO TX 79343 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","39"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","RALLS CHAMBER OF COMMERCE OFFICE - RALLS CHAMBER (REP)","808 AVE I RALLS TX 79357 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","RALLS CHAMBER OF COMMERCE OFFICE - RALLS CHAMBER (REP)","808 AVE I RALLS TX 79357 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","RALLS HIGH SCHOOL GYMNASIUM - RALLS HIGH SCHOOL GYM (REP)","1017 AVE L RALLS TX 79357 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CROSBY","RALLS HIGH SCHOOL GYMNASIUM - RALLS HIGH SCHOOL GYM (REP)","1017 AVE L RALLS TX 79357 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","44"
