"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CULBERSON","CCAISD - BOARDROOM","801 N FANNIN ST VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3-3, 3-5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CULBERSON","CONVENTION CENTER - CAPITAN ROOM","1801 W BROADWAY A VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CULBERSON","CULBERSON COUNTY COURT HOUSE - CLERKS OFFICE","300 LA CAVERNA DR VAN HORN TX 79855 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-12:00 PM; 02/24/2020-02/28/2020 08:00 AM-12:00 PM","1, 2, 3-3, 3-5, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CULBERSON","METHODIST CHURCH - METHODIST CHURCH HALL","206 W 4TH ST TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","CULBERSON","OUR LADY OF FATIMA CATHOLIC CHURCH - JAMES HALL","308 ALMOND ST. VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CULBERSON","CCAISD - BOARDROOM","801 N FANNIN ST VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3-3, 3-5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CULBERSON","CONVENTION CENTER - CAPITAN ROOM","1801 W BROADWAY A VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CULBERSON","CULBERSON COUNTY COURT HOUSE - CLERKS OFFICE","300 LA CAVERNA DR VAN HORN TX 79855 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-12:00 PM; 02/24/2020-02/28/2020 09:00 AM-12:00 PM","1, 2, 3-3, 3-5, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CULBERSON","METHODIST CHURCH - METHODIST CHURCH HALL","206 W 4TH ST TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","CULBERSON","OUR LADY OF FATIMA CATHOLIC CHURCH - JAMES HALL","308 ALMOND ST. VAN HORN TX 79855 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
