"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","CITY HALL ASHERTON - 1001 W CARTER","1001 W CARTER ST ASHERTON TX 78827 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","DIMMIT COUNTY COURTHOUSE - DIMMIT  COUNTY COURTHOUSE","103 N. 5TH STREET CARRIZO SPRINGS TX 78834 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","DIMMIT COUNTY COURTHOUSE - DIMMIT  COUNTY COURTHOUSE","103 N. 5TH STREET CARRIZO SPRINGS TX 78834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","DIMMIT COUNTY COURTHOUSE SOUTH - DIMMIT COUNTY COURTHOUSE SOUTH","301 S. 5TH ST & JEFFERY  CARRIZO SPRINGS TX 78834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","DIMMIT COUNTY FIRESTATION - DIMMIT COUNTY FIRESTATION","1602 N FIRST STREET CARRIZO SPRINGS TX 78834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","JUSTICE OF THE PEACE PCT 3 OFFICE - HWY 85 E & COMMERCE ST","85 HWY 85 E & COMMERCE ST BIG WELLS TX 78830 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","OLD BAND HALL - OLD BAND HALL","805 W NOPAL & 9TH STREET CARRIZO SPRINGS TX 78834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","DIMMIT","ST HENRY PARISH HALL - ST HENRY PARISH HALL","19894 S HWY 83 CATARINA TX 78836 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","DIMMIT","CS CITY HALL - CS CITY HALL","305 305 PENA STREET CARRIZO SPRINGS TX 78834 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","DIMMIT","DIMMIT COUNTY COURTHOUSE - DIMMIT  COUNTY COURTHOUSE","103 N. 5TH STREET CARRIZO SPRINGS TX 78834 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7"
