"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","2 OLDEN COMMUNITY CENTER - OLDEN COMMUNITY CENTER","106 COUNTY ROAD 447 OLDEN TX 76466 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","3 RANGER COMMUNITY CENTER - RANGER COMMUNITY CENTER","718 PINE STREET RANGER TX 76470 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","4 DESDEMONA COMMUNITY CENTER - DESDEMONA COMMUNITY CENTER","6035 HWY 8 DESDEMONA TX 76445 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","5 GORMAN HOUSING AUTHORITY - GORMAN HOUSING AUTHORITY","106 S FISHER ST GORMAN TX 76454 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","6 CARBON COMMUNITY CENTER - CARBON COMMUNITY CENTER","201 W. ANTHRACITE CARBON TX 76435 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","7 RISING STAR FIRE STATION - RISING STAR FIRE STATION","127 N MAIN ST RISING STAR TX 76471 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","8  FBC FAMILY LIFE CENTER - FIRST BAPTIST CHURCH FAMILY LIFE CENTER","800 AVENUE E CISCO TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","9 LAKE LEON BAPTIST CHURCH - LAKE LEON BAPTIST CHURCH","FM 2214 GORMAN TX 76454 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","EV FIRST BAPTIST CHURCH - FIRST BAPTIST CHURCH","405 S. SEAMAN EASTLAND TX 76448 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","EASTLAND","FIRST BAPTIST CHURCH ED - FIRST BAPTIST CHURCH ED","405 S.SEAMAN ST EASTLAND TX 76448 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
