"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","BLUFF DALE VOLUNTEER FIRE DEPARTMENT - MEETING ROOM","175 HOLT BLUFF DALE TX 76433 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","DUBLIN COUNTY ANNEX - JUSTICE OF THE PEACE COURTROOM","219 SOUTH GRAFTON DUBLIN TX 76446 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","DUBLIN COUNTY ANNEX - JUSTICE OF THE PEACE COURTROOM","219 SOUTH GRAFTON DUBLIN TX 76446 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","ERATH COUNTY COURTHOUSE - OUTSIDE COUNTY CLERK'S OFFICE","100 W WASHINGTON STEPHENVILLE TX 76401 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","ERATH COUNTY COURTHOUSE - OUTSIDE COUNTY CLERK'S OFFICE","100 W WASHINGTON STEPHENVILLE TX 76401 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","HUCKABAY COMMUNITY CENTER - ROOM ASSIGNED EACH ELECTION","42346 NORTH FM 219 STEPHENVILLE TX 76401 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","LINGLEVILLE SCHOOL - ENTRANCE AREA OF NEW GYMNASIUM","21261 NORTH HIGHWAY 219 LINGLEVILLE TX 76461 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","MORGAN MILL COMMUNITY CENTER - MAIN ROOM","419 COUNTY ROAD 156 MORGAN MILL TX 76465 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","SELDEN COMMUNITY CENTER - MAIN ROOM","4142 FM 913 STEPHENVILLE TX 76401 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ERATH","TEXAS AGRILIFE - MEETING AREA","1229 N US HWY 281 STEPHENVILLE TX 76401 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 18, 19, 20, 21, 23, 24, 25, 30, 31, 32, 33, 34, 35, 41, 44, 45, 46, 47"
