"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","COUNTY CLERKS OFFICE EARLY VOTING - FISHER COUNTY COURTHOUSE","109 N ANGELO ROBY TX 79543 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 12, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","FIRST BAPTIST CHURCH - FBC FELLOWSHIP HALL","107 COLLEGE ST ROBY TX 79543 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","FISHER COUNTY COURTHOUSE - DISTRICT COURTROOM","112 N CONCHO ROBY TX 79543 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","ROTAN CITY HALL-EARLY VOTING - LOBBY","302 W. SAMMY BAUGH ROTAN TX 79546 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 12, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","ROTAN COMMUNITY CENTER - ROTAN COMMUNITY CENTER","202 W. MCARTHUR ROTAN TX 79546 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","FISHER","ROTAN SCHOOL - ADMINISTRATION BUILDING","102 N MCKINLEY ROTAN TX 79546  - 7954","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","COUNTY CLERKS OFFICE EARLY VOTING - FISHER COUNTY COURTHOUSE","109 N ANGELO ROBY TX 79543 ","EARLY VOTING","","1, 10, 12, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","FIRST BAPTIST CHURCH - FBC FELLOWSHIP HALL","107 COLLEGE ST ROBY TX 79543 ","ELECTION DAY","","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","FISHER COUNTY COURTHOUSE - DISTRICT COURTROOM","112 N CONCHO ROBY TX 79543 ","ELECTION DAY","","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","ROTAN CITY HALL-EARLY VOTING - LOBBY","302 W. SAMMY BAUGH ROTAN TX 79546 ","EARLY VOTING","","1, 10, 12, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","ROTAN COMMUNITY CENTER - ROTAN COMMUNITY CENTER","202 W. MCARTHUR ROTAN TX 79546 ","ELECTION DAY","","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","FISHER","ROTAN SCHOOL - ADMINISTRATION BUILDING","102 N MCKINLEY ROTAN TX 79546  - 7954","ELECTION DAY","","12"
