"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","AMERICAN LEGION HALL POST 244 - COMMANDER'S ROOM","726 S. WASHINGTON ST. FREDERICKSBURG TX 78624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","GILLESPIE COUNTY ANNEX #2 - SUITE C - ELECTIONS ROOM","102 E SAN ANTONIO ST, SUITE C FREDERICKSBURG TX 78624 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 08:00 AM-04:00 PM; 02/23/2020-02/23/2020 01:00 PM-03:00 PM; 02/24/2020-02/24/2020 08:00 AM-04:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-04:00 PM","1, 10, 12, 13, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","GILLESPIE COUNTY DEMOCRATIC PARTY HEADQUARTERS - MAIN ROOM","209 N CROCKETT ST FREDERICKSBURG TX 78624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 13, 2, 4, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","HARPER LIBRARY - COMMUNITY ROOM","23247 W US  HIGHWAY 290 HARPER TX 78631 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","STONEWALL CHAMBER OF COMMERCE - MAIN LOBBY","250 PEACH ST STONEWALL TX 78671 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","THE GOLDEN HUB - MAIN ROOM","1009 N. LINCOLN ST. FREDERICKSBURG TX 78624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 12, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GILLESPIE","TIERRA LINDA STONE HOUSE - MAIN ROOM","3759 OAK ALLEY KERRVILLE TX 78028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GILLESPIE","DISABLED AMERICAN VETERAN BLDG. (DAV) - MAIN LOBBY","4076 N. US HWY 87 FREDERICKSBURG TX 78624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GILLESPIE","DOSS VOLUNTEER FIRE DEPARTMENT - MEETING ROOM","14500 N RANCH ROAD 783 DOSS TX 78618 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GILLESPIE","FAITH BAPTIST CHURCH - FELLOWSHIP HALL","3022 N. STATE HWY 16 FREDERICKSBURG TX 78624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12, 8"
