"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","BELMONT COMMUNITY CENTER - ELECTION ROOM","14335 HWY 90A W BELMONT TX 78604 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","CHEAPSIDE COMMUNITY CENTER - ELECTION ROOM","18 CR 297 A CHEAPSIDE TX 77954 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","CITY HALL  NIXON - ELECTION ROOM","100 W 3RD ST. NIXON TX 78140 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:45 PM; 02/24/2020-02/28/2020 08:00 AM-04:45 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","CITY HALL GONZALES - ELECTION ROOM","820 ST. JOSEPH GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","CITY HALL NIXON - EV-ELECTION ROOM","100 W 3RD ST. NIXON TX 78140 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4, 6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","CITY HALL WAELDER - ELECTION ROOM","300 HWY 90 W WAELDER TX 78959 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:45 PM; 02/24/2020-02/28/2020 08:00 AM-04:45 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","ELKS HOSPITAL - ELECTION ROOM","1963 FM 1586 OTTINE TX 78658 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","GVTC CO-OP BUILDING - ELECTION ROOM","67 FM 466 S COST TX 78614 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","HARWOOD COMMUNITY CENTER - ELECTION ROOM","101 CR 230 N. HARWOOD TX 78632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","J B WELLS FACILITY - ELECTION ROOM","2301 CR 197 GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","LEESVILLE METHODIST CHURCH - ELECTION ROOM","6077 CR 155 LEESVILLE TX 78122 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","MASTER GARDENERS BUILDING - ELECTION ROOM","623 NORTH FAIR GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","PEACH VALLEY YOUTH CAMP - ELECTION ROOM","581 CR 357 GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","RANDLE-RATHER BUILDING - ELECTION ROOM","427 ST GEORGE ST STE 200 GONZALES TX 78629 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:45 PM; 02/24/2020-02/28/2020 08:00 AM-04:45 PM","1, 10, 11, 12, 13, 14, 15, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","RANDLE-RATHER BUILDING - EV-ELECTION ROOM","427 ST GEORGE ST STE 200 GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","SMILEY FIRE STATION - ELECTION ROOM","208 FM 108 N SMILEY TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","GONZALES","WAELDER COMMUNITY CENTER - ELECTION ROOM","311 US HWY 90 W WAELDER TX 78959 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","BELMONT COMMUNITY CENTER - ELECTION ROOM","14335 HWY 90A W BELMONT TX 78604 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","CHEAPSIDE COMMUNITY CENTER - ELECTION ROOM","18 CR 297 A CHEAPSIDE TX 77954 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","CITY HALL  NIXON - ELECTION ROOM","100 W 3RD ST. NIXON TX 78140 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:45 PM; 02/24/2020-02/28/2020 08:00 AM-04:45 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","CITY HALL GONZALES - ELECTION ROOM","820 ST. JOSEPH GONZALES TX 78629 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","CITY HALL NIXON - EV-ELECTION ROOM","100 W 3RD ST. NIXON TX 78140 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4, 6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","CITY HALL WAELDER - ELECTION ROOM","300 HWY 90 W WAELDER TX 78959 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:45 PM; 02/24/2020-02/28/2020 08:00 AM-04:45 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","GONZALES","ELKS HOSPITAL - ELECTION ROOM","1963 FM 1586 OTTINE TX 78658 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
