"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HALL","BOB WILLS COMMUNITY CENTER - FRONT ENTRANCE","602 LYLES STREET TURKEY TX 79261 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HALL","ESTELLINE CITY HALL - LOBBY","507 BURNETT ESTELLINE TX 79233 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HALL","HALL COUNTY COURTHOUSE - 1ST FLOOR LOBBY","512 W MAIN ST MEMPHIS TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 202, 302, 402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HALL","HALL COUNTY COURTHOUSE - COMMISSIONERS COURTROOM","512 W MAIN ST MEMPHIS TX 79245 ","EARLY VOTING","02/18/2020-02/21/2020 01:00 PM-05:00 PM; 02/18/2020-02/21/2020 08:30 AM-12:00 PM; 02/24/2020-02/28/2020 01:00 PM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-12:00 PM","101, 201, 202, 301, 302, 401, 402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HALL","LAKEVIEW CITY HALL - LOBBY","13400 HWY 256 LAKEVIEW TX 79239 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HALL","BOB WILLS COMMUNITY CENTER - FRONT ENTRANCE","602 LYLES STREET TURKEY TX 79261 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HALL","ESTELLINE CITY HALL - LOBBY","507 BURNETT ESTELLINE TX 79233 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HALL","HALL COUNTY COURTHOUSE - 1ST FLOOR LOBBY","512 W MAIN ST MEMPHIS TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 202, 302, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HALL","HALL COUNTY COURTHOUSE - COMMISSIONERS COURTROOM","512 W MAIN ST MEMPHIS TX 79245 ","EARLY VOTING","02/18/2020-02/21/2020 01:00 PM-05:00 PM; 02/18/2020-02/21/2020 08:30 AM-12:00 PM; 02/24/2020-02/28/2020 01:00 PM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-12:00 PM","101, 201, 202, 301, 302, 401, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HALL","LAKEVIEW CITY HALL - LOBBY","13400 HWY 256 LAKEVIEW TX 79239 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
