"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","CHILLICOTHE AG PAVILLION - CHILLICOTHE AG PAVILLION","13900 US HWY 287 S. CHILLICOTHE TX 79225 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","CITY HALL OF CHILLICOTHE - CITY HALL","14051 US HWY 287 S CHILLICOTHE TX 79225 ","EARLY VOTING","","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","CITY HALL OF CHILLICOTHE - CITY HALL","14051 US HWY 287 S CHILLICOTHE TX 79225 ","ELECTION DAY","","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","CITY OF QUANAH - CITY HALL","109 KING ST QUANAH QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","HARDEMAN COUNTY CLERKS OFFICE - CLERKS OFFICE","300 MAIN ST QUANAH TX 79252 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","QUANAH COMMUNITY CENTER - QUANAH COMMUNITY CENTER","1700 AIRPORT RD QUANAH QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HARDEMAN","THOMPSON SAWYER LIBRARY - THOMPSON SAWYER LIBRARY","403 W. 3RD ST QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","CHILLICOTHE AG PAVILLION - CHILLICOTHE AG PAVILLION","13900 US HWY 287 S. CHILLICOTHE TX 79225 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","CITY HALL OF CHILLICOTHE - CITY HALL","14051 US HWY 287 S CHILLICOTHE TX 79225 ","EARLY VOTING","","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","CITY OF QUANAH - CITY HALL","109 KING ST QUANAH QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","HARDEMAN COUNTY CLERKS OFFICE - CLERKS OFFICE","300 MAIN ST QUANAH TX 79252 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","QUANAH COMMUNITY CENTER - QUANAH COMMUNITY CENTER","1700 AIRPORT RD QUANAH QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HARDEMAN","THOMPSON SAWYER LIBRARY - THOMPSON SAWYER LIBRARY","403 W. 3RD ST QUANAH TX 79252 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
