"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","ACC KYLE CAMPUS - CONFERENCE ROOMS","1200 KOHLERS KYLE TX 78640 ","EARLY VOTING","02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","ACC KYLE CAMPUS - CONFERENCE ROOMS","1200 KOHLERS KYLE TX 78640 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","BELTERRA CENTRE - MEETING ROOM","151 TRINITY HILLS DR AUSTIN TX 78737 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","BROOKDALE HORIZON BAY - MEETING ROOM","1720 RANCH RD 12 SAN MARCOS TX 78666 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","BUDA CITY HALL - COURT ROOM","405 E LOOP ST BUDA TX 78610 ","EARLY VOTING","02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","BUDA CITY HALL - COURT ROOM","405 E LOOP ST BUDA TX 78610 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","BUDA ELEMENTARY UPPER CAMPUS - MEETING ROOM","300 SAN MARCOS ST BUDA TX 78610 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","CALVARY BAPTIST CHURCH - MEETING ROOM","1906 N IH 35 SAN MARCOS TX 78666 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","CENTRO CULTURAL HISPANO - MEETING ROOM","211 LEE ST SAN MARCOS TX 78666 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","DRIFTWOOD FIRE STATION #2 - MEETING ROOM","15850 FM 1826 AUSTIN TX 78737 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","DRIPPING SPRINGS RANCH PARK - CONFERENCE ROOMS","1042 EVENT CENTER DRIPPING SPRINGS TX 78620 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","DUNBAR CENTER - MEETING ROOM","801 MARTIN LUTHER KING DR SAN MARCOS TX 78666 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","FIRST BAPTIST CHURCH - LOBBY","325 W MCCARTY LN SAN MARCOS TX 78666 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HAYS","GOFORTH WATER SUPPLY - LOBBY","8900 NIEDERWALD STRASSE KYLE TX 78640 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","110, 111, 112, 113, 114, 115, 120, 121, 122, 123, 125, 126, 127, 128, 129, 130, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 238, 301, 315, 316, 317, 318, 330, 332, 333, 334, 335, 336, 337, 338, 339, 340, 413, 414, 415, 416, 417, 418, 419, 420, 421, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449"
