"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HEMPHILL","HEMPHILL COUNTY COURTHOUSE - CLERK'S OFFICE B","400 MAIN ST. CANADIAN TX 79014 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","101, 201, 202, 301, 302, 303, 401, 402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HEMPHILL","HEMPHILL COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","400 MAIN ST CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 201, 202, 301, 302, 303, 401, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","BAKER ELEMENTARY SCHOOL - GYM","723 CHEYENNE AVE. CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","CANADIAN HIGH SCHOOL - HIGH SCHOOL FOYER NEAR GYMNASIUM","621 SOUTH 5TH ST. CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","FIRE STATION - MEETING ROOM","2 MAIN ST CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","GEM COMMUNITY BUILDING - GEM COMMUNITY BUILDING","16425 CO. RD. S. CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","HEMPHILL COUNTY COURTHOUSE - CLERK'S OFFICE B","400 MAIN ST. CANADIAN TX 79014 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","101, 201, 202, 301, 302, 303, 401, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","HEMPHILL COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","400 MAIN ST CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","PRECINCT #2 BARN - PRECINCT #2 BARN","11625 FM 1453 CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","202"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","PRECINCT #3 BARN - PRECINCT #3 BARN","9450 CO. RD. 22 CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HEMPHILL","PRECINCT #4 BARN - PRECINCT #4 BARN","15168 FM 277 CANADIAN TX 79014 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
