"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","AUSTONIO VOLUNTEER FIRE / COMMUNITY CENTER - COMMUNITY CENTER","13108 FM 1280 W LOVELADY TX 75851 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","CENTER GROVE COMMUNITY CENTER - CENTER GROVE COMMUNITY CENTER","4514 FM 1280 E LOVELADY TX 75851 ","ELECTION DAY","","18"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","CROCKETT FIRE STATION - CROCKETT FIRE STATION","200 N 6TH STREET CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","CROCKETT I.S.D. - ADMIN BUILDING - OLD GYM","1400 W AUSTIN STREET CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","FIRST UNITED METHODIST CHURCH - FIRST UNITED METHODIST CHURCH","3913 US HWY 287 N GRAPELAND TX 75844 ","EARLY VOTING","","1, 10, 11, 12, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","FORMER JP OFFICE - FORMER JP OFFICE","110 E HOUSTON AVENUE CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","GRAPELAND I.S.D. - SCHOOL LIBRARY","116 MYRTLE STREET GRAPELAND TX 75844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5, 6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","HOUSTON COUNTY COURTHOUSE - BASEMENT","401 E HOUSTON AVENUE CROCKETT TX 75835 ","EARLY VOTING","02/18/2020-02/22/2020 08:00 AM-04:30 PM; 02/24/2020-02/28/2020 08:00 AM-04:30 PM","1, 10, 11, 12, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","HOUSTON COUNTY SR CITIZEN CNTR - HOUSTON COUNTY SR CITIZEN CNTR","716 S WELLS STREET CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","KENNARD I.S.D. - BUS BARN","15248 STATE HWY 7 E KENNARD TX 75847 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19, 21"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","LIBERTY HILL UNITED METHODIST CHURCH - LIBERTY HILL UNITED METHODIST CHURCH","594 CR 1585 GRAPELAND TX 75844 ","ELECTION DAY","","12, 20, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","LOVELADY COMMUNITY CENTER - LOVELADY COMMUNITY CENTER 2","124 E COX STREET LOVELADY TX 75851 ","EARLY VOTING","","1, 10, 11, 12, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","LOVELADY COMMUNITY CENTER - LOVELADY COMMUNITY CENTER 2","124 E COX STREET LOVELADY TX 75851 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","MT SENORA BAPTIST CHURCH - MT SENORA BAPTIST CHURCH","3208 CR 4550 CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","MT ZION BAPTIST CHURCH - MT ZION BAPTIST CHURCH","1747 CR 2190 GRAPELAND TX 75844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","PEARSON CHAPEL CHURCH - PEARSON CHAPEL CHURCH","6932 FM 1280 W LOVELADY TX 75851 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","17, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","PORTER SPRINGS BAPTIST CHURCH - FELLOWSHIP & OUTREACH CENTER ANNEX","3656 FM 132 CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","22"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOUSTON","WILCOX COMMUNITY CENTER - WILCOX COMMUNITY CENTER","350 FM 2663 E LATEXO TX 75849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14, 16"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","AUSTONIO VOLUNTEER FIRE / COMMUNITY CENTER - COMMUNITY CENTER","13108 FM 1280 W LOVELADY TX 75851 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","BELOTT COMMUNITY CHURCH - BELOTT COMMUNITY CHURCH","9414 FM 1733 GRAPELAND TX 75844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","CROCKETT FIRE STATION - CROCKETT FIRE STATION","200 N 6TH STREET CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","CROCKETT I.S.D. - ADMIN BUILDING - OLD GYM","1400 W AUSTIN STREET CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","FIRST UNITED METHODIST CHURCH - FIRST UNITED METHODIST CHURCH","3913 US HWY 287 N GRAPELAND TX 75844 ","EARLY VOTING","","1, 10, 11, 12, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","FIRST UNITED METHODIST CHURCH - FIRST UNITED METHODIST CHURCH","3913 US HWY 287 N GRAPELAND TX 75844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","FORMER JP OFFICE - FORMER JP OFFICE","110 E HOUSTON AVENUE CROCKETT TX 75835 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOUSTON","GRAPELAND I.S.D. - SCHOOL LIBRARY","116 MYRTLE STREET GRAPELAND TX 75844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
