"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOWARD","COAHOMA COMMUNITY CENTER - MAIN ROOM","306 NORTH AVE COAHOMA TX 79511 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOWARD","COURTHOUSE - ELECTIONS OFFICE","300 MAIN STREET BIG SPRING  TX 79720 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/28/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOWARD","DOROTHY GARRETT COLISEUM - EAST ROOM","1001 BIRDWELL LN BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOWARD","FIRST BAPTIST CHURCH - NORTH ENTRANCE FOYER","705 W FM 700 BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","HOWARD","RYAN HALL - REAR BUILDING","605 NORTH MAIN STREET BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOWARD","COAHOMA COMMUNITY CENTER - MAIN ROOM","306 NORTH AVE COAHOMA TX 79511 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOWARD","COURTHOUSE - ELECTIONS OFFICE","300 MAIN STREET BIG SPRING  TX 79720 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/28/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOWARD","DOROTHY GARRETT COLISEUM - EAST ROOM","1001 BIRDWELL LN BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOWARD","FIRST BAPTIST CHURCH - NORTH ENTRANCE FOYER","705 W FM 700 BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","HOWARD","RYAN HALL - REAR BUILDING","605 NORTH MAIN STREET BIG SPRING TX 79720 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103, 104, 105, 11, 12, 12a, 13, 14, 16, 205, 207, 207c, 208, 24, 25, 26, 304, 32, 33, 34, 35, 404, 405, 408, 409, 42, 45, 46"
