"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","DAVIS MOUNTAINS RESORT BAPTIST CHURCH - DAVIS MOUNTAINS RESORT BAPTIST CHURCH","208 TOMAHAWK TRAIL FORT DAVIS TX 79734 ","ELECTION DAY","","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","JDC CLERK'S OFFICE - JDC CLERK'S OFFICE","111 N FRONT ST FORT DAVIS TX ","EARLY VOTING","02/18/2020-02/28/2020 09:00 AM-05:00 PM","1, 2, 3, 4, 5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","JDC LAW ENFORCEMENT BLDG - JDC LAW ENFORCEMENT BLDG.","103 COURT AVE FORT DAVIS TX 79734 ","ELECTION DAY","","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","ST. JOSEPH'S PARISH HALL - ST. JOSEPH'S PARISH HALL","800 STATE ST. FORT DAVIS TX 79734 ","ELECTION DAY","","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","UNITED METHODIST CHURCH CHURCH FELLOWSHIP HALL - UNITED METHODIST CHURCH FELLOWSHIP HALL","202 FRONT STREET FORT DAVIS TX ","ELECTION DAY","","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JEFF DAVIS","VALENTINE COMMUNITY BLDG - VALENTINE COMMUNITY BLDG","200 N. 6TH ST. VALENTINE TX 79854 ","ELECTION DAY","","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","DAVIS MOUNTAINS RESORT BAPTIST CHURCH - DAVIS MOUNTAINS RESORT BAPTIST CHURCH","208 TOMAHAWK TRAIL FORT DAVIS TX 79734 ","ELECTION DAY","","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","JDC CLERK'S OFFICE - JDC CLERK'S OFFICE","111 N FRONT ST FORT DAVIS TX ","EARLY VOTING","02/18/2020-02/28/2020 09:00 AM-05:00 PM","1, 2, 3, 4, 5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","JDC LAW ENFORCEMENT BLDG - JDC LAW ENFORCEMENT BLDG.","103 COURT AVE FORT DAVIS TX 79734 ","ELECTION DAY","","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","ST. JOSEPH'S PARISH HALL - ST. JOSEPH'S PARISH HALL","800 STATE ST. FORT DAVIS TX 79734 ","ELECTION DAY","","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","UNITED METHODIST CHURCH CHURCH FELLOWSHIP HALL - UNITED METHODIST CHURCH FELLOWSHIP HALL","202 FRONT STREET FORT DAVIS TX ","ELECTION DAY","","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","JEFF DAVIS","VALENTINE COMMUNITY BLDG - VALENTINE COMMUNITY BLDG","200 N. 6TH ST. VALENTINE TX 79854 ","ELECTION DAY","","4"
