"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","ALVARADO SUB-COURTHOUSE - VOTING ROOM","206 N. BAUGH ST. ALVARADO TX 76009 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","ALVARADO SUB-COURTHOUSE - VOTING ROOM","206 N. BAUGH ST. ALVARADO TX 76009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","BETHESDA BAPTIST CHURCH - LOBBY","100 BETHESDA RD. BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","BONO BAPTIST CHURCH - FELLOWSHIP HALL","6349 BONO RD GODLEY TX 76044 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15, 6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","BOOKER T. WASHINGTON COMMUNITY & RECREATION CENTER - COM. RM.","100 MANSFIELD RD. CLEBURNE TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","20"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","BURLESON SUBCOURTHOUSE - ROOM 104","247 ELK DR. BURLESON TX 76028 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","CANA BAPTIST CHURCH - LOBBY","2309 E. RENFRO ST. BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","CLEBURNE CONFERENCE CENTER - CONFERENCE ROOM","1501 W. HENDERSON CLEBURNE TX 76033 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","CLEBURNE FAMILY FELLOWSHIP CHURCH - LOBBY","710 W. KILPATRICK AVE. CLEBURNE TX 76033 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14, 17, 36"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","CRESTMONT BAPTIST CHURCH - LOBBY","640 N.W. TARRANT AVE. BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","FIRST BAPTIST CHURCH GODLEY - LOBBY","101 E ALLEN GODLEY TX 76044 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","30, 33"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","FIRST BAPTIST CHURCH OF BURLESON - LOBBY","317 W. ELLISON BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","34, 5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","GODLEY CITY HALL - LOBBY","200 W RAILEROAD ST GODLEY TX 76044 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","GRANDVIEW CHURCH OF CHRIST - FELLOWSHIP HALL","707 E CRINER GRANDVIEW TX 76050 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","26, 27"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","JOHNSON COUNTY ELECTIONS-MAIN - BOARD ROOM","103 S. WALNUT ST. CLEBURNE TX 76033 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","JOSHUA COMMUNITY ROOM - LOBBY","907 S BROADWAY JOSHUA TX 76058 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12, 29"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","KEENE COMMUNITY CENTER - COMMUNITY ROOM","1000 N. OLD BETSY RD. KEENE TX 76059 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","22"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","LANE PRAIRIE BAPTIST CHURCH - LOBBY","412 CR 704 JOSHUA TX 76058 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","LILLIAN BAPTIST CHURCH - LOBBY","10544 CR 519 LILLIAN TX 76061 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","35"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","NORTHPOINTE FBC OF JOSHUA - LOBBY","2450 SW WILSHIRE BLVD. BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 31"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","PCT 3 MAINTENANCE FACILITY - COMMUNITY ROOM","10420 E. FM 917 ALVARADO TX 76009 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","PCT 3 MAINTENANCE FACILITY - COMMUNITY ROOM","10420 E. FM 917 ALVARADO TX 76009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","PCT. 4 MAINTENANCE FACILITY - PUBLIC ROOM","4300 E FM 4 CLEBURNE TX 76031 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 11:00 AM-04:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","PCT. 4 MAINTENANCE FACILITY - PUBLIC ROOM","4300 E FM 4 CLEBURNE TX 76031 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","21, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","REECE PRAIRIE BAPTIST CHURCH - LOBBY","9705 CR 1016 BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 32"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","RIO VISTA CIVIC CENTER - LOBBY","201 S. HWY 174 RIO VISTA TX 76093 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","23"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","ST. ANTHONY'S ANGLICAN CHURCH - LOBBY","129 PERCIFIELD TRL ALVARADO TX 76009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","24, 28"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","ST. MARK UNITED METHODIST CHURCH - LOBBY","1109 W. HENDERSON CLEBURNE TX 76033 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","VENUS COMMUNITY CENTER - LOBBY","210 WALNUT VENUS TX 76084 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","VENUS COMMUNITY CENTER - LOBBY","210 WALNUT VENUS TX 76084 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","25"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","VICTORY FAMILY ASSEMBLY OF GOD CHURCH - GYM","455 NW JOHN JONES DR. BURLESON TX 76028 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","JOHNSON","WESTHILL CHURCH OF CHRIST - LOBBY","100 WESTHILL CLEBURNE TX 76033 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16, 18"
