"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","ARMSTRONG POST OFFICE - ARMSTRONG POST OFFICE","2151  S HIGHWAY 77 ARMSTRONG TX 78338 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KC CONSTABLE PRECINCT 4 OFFICE - CONSTABLE PRECINCT 4 OFFICE","1310 S HWY 77 ARMSTRONG TX 78338 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KC ELECTIONS OFFICE - KENEDY COUNTY ELECTIONS FRONT OFFICE","150 N. TURCOTTE ST. SARITA TX 78385 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-04:30 PM; 02/24/2020-02/28/2020 08:30 AM-04:30 PM","1, 2, 3, 4, 5, 6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KC ELECTIONS OFFICE - KENEDY COUNTY ELECTIONS FRONT OFFICE","150 N. TURCOTTE ST. SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KC JUSTICE COURTS BUILDING - JUSTICE COURTS BUILDING","139 N. MAIN STREET SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KC SARITA ELEMENTARY SCHOOL - SARITA ELEMENTARY SCHOOL","150 LA PARRA AVE. SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENEDY","KENEDY COUNTY TAX OFFICE - KENEDY COUNTY TAX OFFICE","120 S. MALLORY SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","ARMSTRONG POST OFFICE - ARMSTRONG POST OFFICE","2151  S HIGHWAY 77 ARMSTRONG TX 78338 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KC CONSTABLE PRECINCT 4 OFFICE - CONSTABLE PRECINCT 4 OFFICE","1310 S HWY 77 ARMSTRONG TX 78338 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KC ELECTIONS OFFICE - KENEDY COUNTY ELECTIONS FRONT OFFICE","150 N. TURCOTTE ST. SARITA TX 78385 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-04:30 PM; 02/24/2020-02/28/2020 08:30 AM-04:30 PM","1, 2, 3, 4, 5, 6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KC ELECTIONS OFFICE - KENEDY COUNTY ELECTIONS FRONT OFFICE","150 N. TURCOTTE ST. SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KC JUSTICE COURTS BUILDING - JUSTICE COURTS BUILDING","139 N. MAIN STREET SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KC SARITA ELEMENTARY SCHOOL - SARITA ELEMENTARY SCHOOL","150 LA PARRA AVE. SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENEDY","KENEDY COUNTY TAX OFFICE - KENEDY COUNTY TAX OFFICE","120 S. MALLORY SARITA TX 78385 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
