"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","CLAIREMONT COMMUNITY CENTER - CLAIREMONT COMMUNITY CENTER","8271 HWY 380 CLAIREMONT TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","GIRARD COMMUNITY CENTER - COMMUNITY CENTER","1301 HWY 70 GIRARD TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","JAYTON COMMUNITY CENTER - JAYTON COMMUNITY CENTER","156 WEST 4TH ST. JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","JAYTONGIRARD ISD  GYM - GYM","700 MADISON AVE JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","JAYTONGIRARD ISD FOYER - JAYTONGIRARD ISD FOYER","700 MADISON AVENUE JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","KENT COUNTY COURTHOUSE - CLERK'S OFFICE  DEMO","101 NORTH MAIN JAYTON TX TX 79528 ","EARLY VOTING","","101, 201, 202, 301, 302, 401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KENT","KENT COUNTY COURTHOUSE - KENT COUNTY COURTHOUSE","101 NORTH MAIN JAYTON TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","CLAIREMONT COMMUNITY CENTER - CLAIREMONT COMMUNITY CENTER","8271 HWY 380 CLAIREMONT TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","CLERK'S OFFICE 1 - REPUBLICAN CLERK'S OFFICE","TX ","EARLY VOTING","02/28/2020-02/28/2020 08:00 AM-03:00 PM","101, 201, 202, 301, 302, 401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","COURTHOUSE - REPUBLICAN","TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","GIRARD COMMUNITY CENTER - COMMUNITY CENTER","1301 HWY 70 GIRARD TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","202"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","JAYTON COMMUNITY CENTER - JAYTON COMMUNITY CENTER","156 WEST 4TH ST. JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","JAYTONGIRARD ISD  GYM - GYM","700 MADISON AVE JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KENT","JAYTONGIRARD ISD FOYER - JAYTONGIRARD ISD FOYER","700 MADISON AVENUE JAYTON TX 79528 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
