"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","COPPERAS SCHOOLHOUSE - COPPERAS SCHOOLHOUSEDEM","12808 W RANCH RD 1674 JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","501 MAIN ST. JUNCTION TX 76849 ","EARLY VOTING","02/18/2020-02/20/2020 01:00 PM-05:00 PM; 02/18/2020-02/20/2020 08:00 AM-12:00 PM; 02/21/2020-02/21/2020 08:00 AM-04:00 PM; 02/24/2020-02/27/2020 01:00 PM-05:00 PM; 02/24/2020-02/27/2020 08:00 AM-12:00 PM; 02/28/2020-02/28/2020 08:00 AM-04:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","501 MAIN ST. JUNCTION TX 76849 ","ELECTION DAY","",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","COUNTY COURTHOUSE - COURTHOUSE HALLWAYDEM","501 MAIN STREET JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 4, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","LONDON COMMUNITY BUILDING - LONDON COMMUNITY BUILDINGDEM","17515 N US HWY 377 LONDON TX 76854 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","KIMBLE","NOXVILLE SCHOOLHOUSE - NOXVILLE SCHOOLHOUSE-DEM","700 KC 473 JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","COPPERAS SCHOOLHOUSE - COPPERAS SCHOOLHOUSE-REP","12808 W RANCH RD 1674 JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","501 MAIN ST. JUNCTION TX 76849 ","EARLY VOTING","02/24/2020-02/27/2020 08:00 AM-12:00 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","COUNTY COURTHOUSE - COUNTY CLERK'S OFFICE","501 MAIN ST. JUNCTION TX 76849 ","ELECTION DAY","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","COUNTY COURTHOUSE - COURTHOUSE HALLWAY-REP","501 MAIN ST JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 4, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","LONDON COMMUNITY BUILDING - LONDON COMMUNITY BUILDING-REP","17515 N US HWY 377 LONDON TX 76854 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","KIMBLE","NOXVILLE SCHOOLHOUSE - NOXVILLE SCHOOLHOUSE-REP","700 KC 473 JUNCTION TX 76849 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
