"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","AMHERST CITY HALL - AMHERST CITY HALL","1011 MAIN STREET AMHERST TX 79312 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","EARTH COMMUNITY CENTER - EARTH COMMUNITY CENTER","104 N BIRCH ST EARTH TX 79031 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","FIRST BAPTIST CHURCH - FIRST BAPTIST CHURCH","213 WEST HWY 70 SPRINGLAKE TX 79082 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","LAMB COUNTY AG BUILDING - 17TH AND HALL AVE","1805 HALL AVENUE LITTLEFIELD TX 79339 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","LAMB COUNTY COURTHOUSE - LAMB COUNTY COURTHOUSE","100 6TH DRIVE LITTLEFIELD TX ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/25/2020 08:30 AM-05:00 PM; 02/26/2020-02/26/2020 07:00 AM-07:00 PM; 02/27/2020-02/28/2020 08:30 AM-05:00 PM","1, 10, 11, 12, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","OLTON COMMUNITY CENTER - OLTON COMMUNITY CENTER","406 2ND STREET OLTON TX 79064 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMB","SUDAN COMMUNITY CENTER - SUDAN COMMUNITY CENTER","109 EAST 1ST AVENUE SUDAN TX 79371 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","AMHERST CITY HALL - AMHERST CITY HALL","1011 MAIN STREET AMHERST TX 79312 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","EARTH COMMUNITY CENTER - EARTH COMMUNITY CENTER","104 N BIRCH ST EARTH TX 79031 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","FIRST BAPTIST CHURCH - FIRST BAPTIST CHURCH","213 WEST HWY 70 SPRINGLAKE TX 79082 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","LAMB COUNTY AG BUILDING - 17TH AND HALL AVE","1805 HALL AVENUE LITTLEFIELD TX 79339 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","LAMB COUNTY COURTHOUSE - LAMB COUNTY COURTHOUSE","100 6TH DRIVE LITTLEFIELD TX ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/25/2020 08:30 AM-05:00 PM; 02/26/2020-02/26/2020 07:00 AM-07:00 PM; 02/27/2020-02/28/2020 08:30 AM-05:00 PM","1, 10, 11, 12, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","OLTON COMMUNITY CENTER - OLTON COMMUNITY CENTER","406 2ND STREET OLTON TX 79064 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMB","SUDAN COMMUNITY CENTER - SUDAN COMMUNITY CENTER","109 EAST 1ST AVENUE SUDAN TX 79371 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11, 4"
