"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","0 ELECTION ADMINISTRATORS OFFICE - ELECTIONS ADMINISTRATOR OFFICE","407 SO. PECAN LAMPASAS TX 76550 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","1 CLEAR CREEK BAPTIST CHURCH - CLEAR CREEK BAPTIST CHURCH","3350 FM 2657 COPPERAS COVE TX 76522 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","3 LAMPASAS NEW COVENANT CHURCH - NEW COVENANT CHURCH","1604 CTE LAMPASAS TX 76550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","4 ADAMSVILLE COMMUNITY CENTER - ADAMSVILLE COMMUNITY CENTER","174 CR 3750 LAMPASAS TX 76550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","5 LOMETA JP 2 - LOMETA JP 2 OFFICE","109 W. SAN SABA ST. LOMETA TX 76853 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LAMPASAS","KEMPNER FIRE DEPT TRAINING CTR - KEMPNER FIRE DEPT. TRAINING CTR","315 PECAN KEMPNER TX 76539 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","0 ELECTION ADMINISTRATORS OFFICE - ELECTIONS ADMINISTRATOR OFFICE","407 SO. PECAN LAMPASAS TX 76550 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","1 CLEAR CREEK BAPTIST CHURCH - CLEAR CREEK BAPTIST CHURCH","3350 FM 2657 COPPERAS COVE TX 76522 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","3 LAMPASAS NEW COVENANT CHURCH - NEW COVENANT CHURCH","1604 CTE LAMPASAS TX 76550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","4 ADAMSVILLE COMMUNITY CENTER - ADAMSVILLE COMMUNITY CENTER","174 CR 3750 LAMPASAS TX 76550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","5 LOMETA JP 2 - LOMETA JP 2 OFFICE","109 W. SAN SABA ST. LOMETA TX 76853 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LAMPASAS","KEMPNER FIRE DEPT TRAINING CTR - KEMPNER FIRE DEPT. TRAINING CTR","315 PECAN KEMPNER TX 76539 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9, NA"
