"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","BLUE UNITED METHODIST CHURCH FELLOWSHIP HALL - BLUE UNITED METHODIST CHURCH FELLOWSHIP HALL","4184 WEST FM 696 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","DIME BOX FIRE STATION #1 - DIME BOX FIRE STATION #1","1010 STEPHEN F. AUSTIN BLVD DIME BOX TX 77853 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","GIDDINGS FIRE STATION TRAINING ROOM - GIDDINGS FIRE STATION TRAINING ROOM","151 W. INDEPENDECE GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","GIDDINGS PUBLIC LIBRARY MEETING ROOM - GIDDINGS PUBLIC LIBRARY MEETING ROOM","276 NORTH ORANGE STREET GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","LEE COUNTY ELECTIONS OFFICE - LEE COUNTY ELECTIONS OFFICE","843 EAST INDUSTRY, STE B GIDDINGS TX 78942 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-07:00 PM; 02/22/2020-02/22/2020 09:00 AM-01:00 PM; 02/24/2020-02/28/2020 08:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","LEE COUNTY SHERIFF'S OFFICE TRAINING ROOM - LEE COUNTY SHERIFF'S OFFICE TRAINING ROOM","2122 FM 448 GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","LINCOLN VFD COMMUNITY CENTER - LINCOLN VFD COMMUNITY CENTER","1066 MAIN AVE. LINCOLN TX 78948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","TANGLEWOOD BAPTIST CHURCH FELLOWSHIP HALL - TANGLEWOOD BAPTIST CHURCH FELLOWSHIP HALL","11203 N. US 77 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","WILSON BOYD PRECINCT 3 BUILDING - WILSON BOYD PRECINCT 3 BUILDING","8871 NORTH US HWY 77 LEXINGTON TX 78947 ","EARLY VOTING","02/18/2020-02/21/2020 11:00 AM-07:00 PM; 02/22/2020-02/22/2020 09:00 AM-01:00 PM; 02/24/2020-02/28/2020 11:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LEE","WILSON BOYD PRECINCT 3 BUILDING - WILSON BOYD PRECINCT 3 BUILDING","8871 NORTH US HWY 77 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","BLUE UNITED METHODIST CHURCH FELLOWSHIP HALL - BLUE UNITED METHODIST CHURCH FELLOWSHIP HALL","4184 WEST FM 696 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","DIME BOX FIRE STATION #1 - DIME BOX FIRE STATION #1","1010 STEPHEN F. AUSTIN BLVD DIME BOX TX 77853 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","GIDDINGS FIRE STATION TRAINING ROOM - GIDDINGS FIRE STATION TRAINING ROOM","151 W. INDEPENDECE GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","GIDDINGS PUBLIC LIBRARY MEETING ROOM - GIDDINGS PUBLIC LIBRARY MEETING ROOM","276 NORTH ORANGE STREET GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","LEE COUNTY ELECTIONS OFFICE - LEE COUNTY ELECTIONS OFFICE","843 EAST INDUSTRY, STE B GIDDINGS TX 78942 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-07:00 PM; 02/22/2020-02/22/2020 09:00 AM-01:00 PM; 02/24/2020-02/28/2020 08:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","LEE COUNTY SHERIFF'S OFFICE TRAINING ROOM - LEE COUNTY SHERIFF'S OFFICE TRAINING ROOM","2122 FM 448 GIDDINGS TX 78942 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","LINCOLN VFD COMMUNITY CENTER - LINCOLN VFD COMMUNITY CENTER","1066 MAIN AVE. LINCOLN TX 78948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","TANGLEWOOD BAPTIST CHURCH FELLOWSHIP HALL - TANGLEWOOD BAPTIST CHURCH FELLOWSHIP HALL","11203 N. US 77 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","WILSON BOYD PRECINCT 3 BUILDING - WILSON BOYD PRECINCT 3 BUILDING","8871 NORTH US HWY 77 LEXINGTON TX 78947 ","EARLY VOTING","02/18/2020-02/21/2020 11:00 AM-07:00 PM; 02/22/2020-02/22/2020 09:00 AM-01:00 PM; 02/24/2020-02/28/2020 11:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LEE","WILSON BOYD PRECINCT 3 BUILDING - WILSON BOYD PRECINCT 3 BUILDING","8871 NORTH US HWY 77 LEXINGTON TX 78947 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 201, 202, 203, 301, 302, 303, 304, 401, 402, 403, 404, 405"
