"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","BEN HUR COMMUNITY CENTER - BEN HUR","981 FM 339 S BEN HUR TX 76642 ","ELECTION DAY","","303"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","BETHSEDA MISSIONARY (LAKE MEXIA AREA) - BETHSEDA MISSIONARY (LAKE MEXIA AREA)","3422 US 84 W MEXIA TX 76667 ","ELECTION DAY","","203"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","COOLIDGE CIVIC CENTER - COOLIDGE","806 BELL ST. COOLIDGE TX 76635 ","ELECTION DAY","","205"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","EARLY VOTING GROESBECK - EARLY VOTING GROESBECK","200 W STATE ST RM G1 GROESBECK TX 76642 ","EARLY VOTING","","101, 102, 103, 104, 201, 202, 203, 204, 205, 206, 301, 302, 303, 304, 305, 401, 402, 403, 404, 405, 406"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","EARLY VOTING MEXIA - EARLY VOTING MEXIA","205 S MCKINNEY ST MEXIA TX 76667 ","EARLY VOTING","","101, 102, 103, 104, 201, 202, 203, 204, 205, 206, 301, 302, 303, 304, 305, 401, 402, 403, 404, 405, 406"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","FAITH LUTHERAN CHURCH - 401 S HWY 14 MEXIA","401 S HWY 14 MEXIA TX 76667 ","ELECTION DAY","","202"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","FARRAR XTO BUILDING - FARRAR XTO BUILDING","1016 FM 1512 DONIE TX 75838 ","ELECTION DAY","","402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","JUSTICE OF THE PEACE PCT 1 - 310 S DALLAS ST GROESBECK","310 S DALLAS ST GROESBECK TX 76642 ","ELECTION DAY","","101"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","KOSSE COMMUNITY CENTER - 200 N. HWY 14 KOSSE","200 N SH 14 KOSSE TX 76653 ","ELECTION DAY","","103"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIMESTONE","LAKE MEXIA VFD - LAKE MEXIA VFD","291 LCR 377 MEXIA TX 76667 ","ELECTION DAY","","305"
