"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","ARGENTA OLD SCHOOL BLDG- DEMOCRATIC - ARGENTA OLD SCHOOL BLDG","101 FM 1040 MATHIS TX 78383 ","ELECTION DAY","","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","FIRST BAPTIST CHURCH-ANNA ROSE-DEMOCRATIC - FIRST BAPTIST CHURCH GEORGE WEST","707 FRIO STREET GEORGE WEST TX 78022 ","ELECTION DAY","","12"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","FIRST UNITED METHODIST CHURCH-TR-DEMOCRATIC - FIRST METHODIST CHURCH","205 CAVES STREET THREE RIVERS TX 78071 ","ELECTION DAY","","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","G.W. FIRST BAPTIST CHURCH- DEMOCRATIC - FIRST BAPTIST CHURCH FELLOSHIP HALL","707 FRIO STREET GEORGE WEST TX 78022 ","ELECTION DAY","","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","GWISD ADMINSTRATION BLDG-DEMOCRATIC - GWISD ADMINISTRATION BLDG","913 HOUSTON GEORGE WEST TX 78022 ","ELECTION DAY","","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","LAGARTO D & J STORAGE - DEMOCRATIC - D & J STORAGE","258 FM 3162 SANDIA TX 78383 ","ELECTION DAY","","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","LIVE OAK COUNTY COURTHOUSE ANNEX-DEMOCRATIC - LIVE OAK COUNTY COURTHOUSE ANNEX","301 HOUSTON ST GEORGE WEST TX 78022 ","EARLY VOTING","","1, 10, 11, 12, 13, 14, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","LIVE OAK COUNTY CRIMINAL JUSTICE CENTER GW-DEMOCRATIC - LIVE OAK COUNTY CRIMINAL JUSTICE CENTER","200 LARRY R BUSBY DR GEORGE WEST TX 78022 ","ELECTION DAY","","14"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","OAKVILLE COMMUNITY CENTER-DEMOCRATIC - OAKVILLE COMMUNITY CENTER","114 COMMUNITY CENTER OAKVILLE TX 78060 ","ELECTION DAY","","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","RAY POINT COMMUNITY CENTER-DEMOCRATIC - RAY POINT COMMUNITY CENTER","100 CR 223 THREE RIVERS TX 78071 ","ELECTION DAY","","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","RAY POINT COMMUNITY CTR-NELL-DEMOCRATIC - RAY POINT COMMUNITY CENTER","100 CR 223 THREE RIVERS TX 78071 ","ELECTION DAY","","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","SIMMONS COMMUNITY CENTER-DEMOCRATIC - SIMMONS COMMUNITY CENTER","791 FM 1042 THREE RIVERS TX 78071 ","ELECTION DAY","","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","SWINNEY SWITCH VOLUNTEER FIRE DEPT.-DEMOCRATIC - SWINNEY SWITCH VOLUNTEER FIRE DEPARTMENT","914 FM 3024 GEORGE WEST TX 78022 ","ELECTION DAY","","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","THREE RIVERS CITY HALL-DEMOCRATIC - THREE RIVERS CITY HALL","105 HARBORTH THREE RIVERS TX 78071 ","ELECTION DAY","","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","LIVE OAK","WHITSETT BAPTIST CHURCH- DEMOCRATIC - WHITSETT BAPTIST CHURCH","545 FM 99 WHITSETT TX 78075 ","ELECTION DAY","","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","ARGENTA OLD SCHOOL BLDG- REPUBLICAN - ARGENTA OLD SCHOOL BLDG","101 FM 1040 MATHIS TX 78368 ","ELECTION DAY","","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","FIRST BAPTIST CHURCH-ANNA ROSE-REPUBLICAN - FIRST BAPTIST CHURCH GEORGE WEST","707 FRIO STREET GEORGE WEST TX 78022 ","ELECTION DAY","","12"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","FIRST UNITED METHODIST CHURCH-TR-REPUBLICAN - FIRST UNITED  METHODIST CHURCH","205 CAVES STREET THREE RIVERS TX 78071 ","ELECTION DAY","","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","G.W. FIRST BAPTIST CHURCH- REPULICAN - FIRST BAPTIST CHURCH FELLOWSHIP HALL","707 FRIO STREET GEORGE WEST TX 78022 ","ELECTION DAY","","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","GWISD ADMINSTRATION BLDG-REPUBLICAN - GWISD ADMINISTRATION BLDG","913 HOUSTON GEORGE WEST TX 78022 ","ELECTION DAY","","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","LAGARTO D & J STORAGE- REPUBLICAN - D&J STORAGE","258 FM 3162 SANDIA TX 78383 ","ELECTION DAY","","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","LIVE OAK COUNTY COURTHOUSE ANNEX-REPUBLICAN - LIVE OAK COUNTY COURTHOUSE ANNEX","301 HOUSTON ST GEORGE WEST TX 78022 ","EARLY VOTING","","1, 10, 11, 12, 13, 14, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","LIVE OAK COUNTY CRIMINAL JUSTICE CENTER GW REPUBLICAN - LIVE OAK COUNTY CRIMINAL JUSTICE CENTER","200 LARRY R BUSBY DR GEORGE WEST TX 78022 ","ELECTION DAY","","14"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","OAKVILLE COMMUNITY CENTER REPUBLICAN - OAKVILLE COMMUNITY CENTER","114 COMMUNITY CENTER CIRCLE OAKVILLE TX 78060 ","ELECTION DAY","","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","RAY POINT COMMUNITY CENTER-REPUBLICAN - RAY POINT COMMUNITY CENTER","100 CR 223 THREE RIVERS TX 78071 ","ELECTION DAY","","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","RAY POINT COMMUNITY CTR-NELL-REPUBLICAN - RAY POINT COMMUNITY CENTER","100 CR 223 THREE RIVERS TX 78071 ","ELECTION DAY","","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","SIMMONS COMMUNITY CENTER-REPUBLICAN - SIMMONS COMMUNITY CENTER","791 FM 1042 THREE RIVERS TX 78071 ","ELECTION DAY","","11"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","SWINNEY SWITCH VOLUNTEER FIRE DEPT.-REPUBLICAN - SWINNEY SWITCH VOLUNTEER FIRE DEPARTMENT","914 FM 3024 GEORGE WEST TX 78022 ","ELECTION DAY","","13"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","THREE RIVERS CITY HALL-REPUBLICAN - THREE RIVERS CITY HALL","405 HARBORTH THREE RIVERS TX 78071 ","ELECTION DAY","","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","LIVE OAK","WHITSETT BAPTIST CHURCH- REPUBLICAN - WHITSETT BAPTIST CHURCH","545 FM 99 WHITSETT TX 78075 ","ELECTION DAY","","8"
