"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","D'HANIS COMMUNITY CENTER - D'HANIS","7475 CR 524 D'HANIS TX 78850 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","ELECTIONS DEPARTMENT HONDO - 1202 14TH ST","1202 14TH STREET HONDO TX 78861 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","FIRST BAPTIST CHURCH OF NATALIA - 301 PEARSON","301 PEARSON ST NATALIA TX 78059 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","HONDO PUBLIC LIBRARY - HONDO PUBLIC LIBRARY","2003 AVE K HONDO TX 78861 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","MEDINA COUNTY BLDG  PCT 2 CASTROVILLE - 8406 FM 471 S","8406 FM 471 SOUTH CASTROVILLE TX 78009 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","MEDINA COUNTY BLDG  PCT 2 CASTROVILLE - 8406 FM 471 S","8406 FM 471 SOUTH CASTROVILLE TX 78009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","MEDINA COUNTY BUILDING DEVINE - 317 HWY 132 N","317 HWY 132 N DEVINE TX 78016 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","MEDINA COUNTY BUILDING DEVINE - 317 HWY 132 N","317 HWY 132 N DEVINE TX 78016 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","MICO VOLUNTEER FIRE DEPARTMENT BUILDING - 7121 CR 271","7121 COUNTY ROAD 271 MICO TX 78056 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MEDINA","SOUTH TEXAS REGIONAL TRAINING CENTER - 400 CARTER ST","402 CARTER HONDO TX 78861 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A, 1B, 1C, 1D, 2A, 2B, 2C, 3A, 3B, 3C, 3D, 4A, 4B, 4C"
