"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","EBONY COMMUNITY CENTER - EBONY COMMUNITY CENTER","800 CR 536 MULLIN TX 76864 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","FELLOWSHIP BAPTIST CHURCH - FELLOWSHIP BAPTIST CHURCH","130 FM 2005E GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","FUMC FAMILY LIFE CENTER - FUMC FAMILY LIFE CENTER","1305 4TH STREET GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","GOLDTHWAITE FIRST BAPTIST CHURCH  YOUTH CENTER - GOLDTHWAITE FIRST BAPTIST CHURCH  YOUTH CENTER","1319 FISHER STREET GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","MILLS COUNTY COMMUNITY/SENIOR CENTER - MILLS CO. COMMUNITY CENTER","1003 FISHER GOLDTHWAITE TX 76844 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 11, 2, 4, 6, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","MULLIN COMMUNITY CENTER - MULLIN COMMUNITY CENTER","2 SHERMAN ST MULLIN TX 76864 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MILLS","PRIDDY LUTHERAN EDUCATION BUILDING - PRIDDY LUTHERAN EDUCATION BUILDING","1374 HWY 16 N PRIDDY TX 76870 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","CENTER CITY METHODIST CHURCH - MAIN BUILDING","6 CR 250 GOLDTHWAITE TX 76844 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","CENTER CITY METHODIST CHURCH - MAIN BUILDING","6 CR 250 GOLDTHWAITE TX 76844 ","ELECTION DAY","","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","EBONY COMMUNITY CENTER - EBONY COMMUNITY CENTER","800 CR 536 MULLIN TX 76864 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","FELLOWSHIP BAPTIST CHURCH - FELLOWSHIP BAPTIST CHURCH","130 FM 2005E GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","FUMC FAMILY LIFE CENTER - FUMC FAMILY LIFE CENTER","1305 4TH STREET GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","GOLDTHWAITE FIRST BAPTIST CHURCH  YOUTH CENTER - GOLDTHWAITE FIRST BAPTIST CHURCH  YOUTH CENTER","1319 FISHER STREET GOLDTHWAITE TX 76844 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","MILLS COUNTY COMMUNITY/SENIOR CENTER - MILLS CO. COMMUNITY CENTER","1003 FISHER GOLDTHWAITE TX 76844 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 11, 2, 4, 6, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","MULLIN COMMUNITY CENTER - MULLIN COMMUNITY CENTER","2 SHERMAN ST MULLIN TX 76864 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MILLS","PRIDDY LUTHERAN EDUCATION BUILDING - PRIDDY LUTHERAN EDUCATION BUILDING","1374 HWY 16 N PRIDDY TX 76870 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
