"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","BOWIE BIBLE BAPTIST - BAPTIST CHURCH","1400 HWY 59N BOWIE TX 76230 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","BOWIE BIBLE BAPTIST - BAPTIST CHURCH","1400 HWY 59N BOWIE TX 76230 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","BOWIE LIBRARY - BOWIE LIBRARY","301 WALNUT BOWIE TX 76230 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","FORESTBURG COMMUNITY CENTER - FORESTBURG COMMUNITY CENTER","FM 455 FORESTBURG TX 76239 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","H J JUSTIN COMMUNITY CENTER - H J JUSTIN COMMUNITY CENTER","100 CLAY ST NOCONA TX 76255 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","H J JUSTIN COMMUNITY CENTER - H J JUSTIN COMMUNITY CENTER","100 CLAY ST NOCONA TX 76255 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","MONTAGUE ANNEX COMMUNITY ROOM - MONTAGUE ANNEX","11339 STATE HWY 59N MONTAGUE TX 76251 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","MONTAGUE ANNEX COMMUNITY ROOM - MONTAGUE ANNEX","11339 STATE HWY 59N MONTAGUE TX 76251 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","RINGGOLD ELEMENTARY - RINGGOLD ELEMENTARY","468 PRATER RD. BOWIE TX 76230 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","SAINT JO CIVIC CENTER - SAINT JO CIVIC CENTER","102 EAST SQUARE SAINT JO TX 76265 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","SAINT JO CIVIC CENTER - SAINT JO CIVIC CENTER","102 EAST SQUARE SAINT JO TX 76265 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","SUNSET CITY HALL - CITY OF SUNSET","119 FM 1749 SUNSET TX 76230 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","TALES N TRAILS MUSEUM - TALES N TRAILS MUSEUM","1522 HWY 82 NOCONA TX 76255 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MONTAGUE","VALLEY VIEW BAPTIST - VALLEY VIEW BAPTIST","6159103 SPANISH FORT NOCONA TX 76255 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MONTAGUE","BOWIE BIBLE BAPTIST - BAPTIST CHURCH","1400 HWY 59N BOWIE TX 76230 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MONTAGUE","BOWIE BIBLE BAPTIST - BAPTIST CHURCH","1400 HWY 59N BOWIE TX 76230 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9"
