"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","CASON SUBCOURTHOUSE - CASON SUBCOURTHOUSE","20 COUNTY ROAD 1216 CASON TX 75636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","COURTHOUSE - COUNTY CLERK'S OFFICE","500 BROADNAX ST. DAINGERFIELD TX 75638 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","101, 102, 103, 202, 203, 302, 303, 401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","COURTHOUSE ANNEX - ANNEX","600 BROADNAX ST. DAINGERFIELD TX 75638 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","JENKINS SUBCOURTHOUSE - JENKINS SUBCOURTHOUSE","2574 US HWY 259 S. DAINGERFIELD TX 75638 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","202"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","LONE STAR FIRE STATION - MEETING ROOM","201 W. INDUSTRIAL LONE STAR TX 75668 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","NAPLES COMMUNITY CENTER - NAPLES, TX","104 DAINGERFIELD ST NAPLES TX 75568 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","OMAHA CITY HALL - OMAHA CITY HALL","305 WHITE OAK AVE OMAHA TX 75571 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","MORRIS","TRAYLOR FARMS - METAL OFFICE BUILDING","1464 COUNTY ROAD 4205 OMAHA TX 75571 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","CASON SUBCOURTHOUSE - CASON SUBCOURTHOUSE","20 COUNTY ROAD 1216 CASON TX 75636 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","COURTHOUSE - COUNTY CLERK'S OFFICE","500 BROADNAX ST. DAINGERFIELD TX 75638 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","101, 102, 103, 202, 203, 302, 303, 401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","COURTHOUSE ANNEX - ANNEX","600 BROADNAX ST. DAINGERFIELD TX 75638 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","JENKINS SUBCOURTHOUSE - JENKINS SUBCOURTHOUSE","2574 US HWY 259 S. DAINGERFIELD TX 75638 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","202"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","LONE STAR FIRE STATION - MEETING ROOM","201 W. INDUSTRIAL LONE STAR TX 75668 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","NAPLES COMMUNITY CENTER - NAPLES, TX","104 DAINGERFIELD ST NAPLES TX 75568 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","OMAHA CITY HALL - OMAHA CITY HALL","305 WHITE OAK AVE OMAHA TX 75571 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","303"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","MORRIS","TRAYLOR FARMS - METAL OFFICE BUILDING","1464 COUNTY ROAD 4205 OMAHA TX 75571 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103"
