"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","BELIEVERS NEW LIFE MINISTRY CHURCH INTERNATIONAL - BELIVERS NEW LIFE MINISTRY CHURCH-REP. PRIMARY","266 FM 363 N KIRBYVILLE TX 75956 ","ELECTION DAY","","22, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","BELIVER'S NEW LIFE MINISTRY CHURCH - BELIVERS NEW LIFE MINISTRY CHURCH-DEMOCRAT","266 FM 363 N KIRBYVILLE TX 75956 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","22, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","BON WIER UNITED PENTECOSTAL CHURCH - BON WIER- UNITED PENTECOSTAL CHURCH-DEM PRIMARY","133 FM 1416 BON WIER TX 75928 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","BON WIER UNITED PENTECOSTAL CHURCH - BON WIER-UNITED PENTECOSTAL CHURCH-REP PRIMARY","133 FM 1416 BON WIER TX 75928 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","CADE BUILDING - BURKEVILLE- CADE BUILDING-DEM. PRIMARY","142 STATE HWY 63 EAST BURKEVILLE TX 75932 ","ELECTION DAY","","14, 3, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","CADE BUILDING - BURKEVILLE- CADE BUILDING-REP.. PRIMARY","142 STATE HWY 63 E BURKEVILLE TX 75932 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","DEWEYVILLE SUB COURTHOUSE - ORANGE, TEX-DEWEYVILLE SUB COURTHOUSE-DEM. PARTY","42520 STATE HWY 87 S ORANGE TX 77632 ","EARLY VOTING","02/18/2020-02/20/2020 08:00 AM-04:30 PM; 02/21/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 10:00 AM-07:00 PM; 02/24/2020-02/28/2020 08:00 AM-04:30 PM","10, 11, 13, 16, 21, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","DEWEYVILLE SUB-COURTHOUSE - DEWEYVILLE SUB-COURTHOUSE-REP. PRIMARY","42520 STATE HWY 87 S ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11, 13, 21"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","DEWEYVILLE SUB-COURTHOUSE - DEWEYVILLLE SUB-COURTHOUSE-DEM. PRIMARY","42520 STATE HWY 87 S ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","11, 13, 21"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","FAWIL UNITED PENTECOSTAL CHURCH - FAWIL-UNITED PENTECOSTAL CHURCH-DEM PRIMARY","3926 FM 363 NEWTON TX 75966 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","FAWIL UNITED PENTECOSTAL CHURCH - FAWIL-UNITED PENTECOSTAL CHURCH-REP PRIMARY","3926 FM 363 NEWTON TX 75966 ","ELECTION DAY","","19"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","IRIS AND ANNIE HOWARD CIVIC CENTER - IRIS AND ANNIE HOWARD CIVIC CENTER-REP. PRIMARY","213 COURT ST NEWTON TX 75966 ","ELECTION DAY","","1, 12, 17, 6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NEWTON","IRIS AND ANNIE HOWARD CIVIC CENTER - NEWTON -MAIN FOYER- DEM. PRIMARY","213 COURT ST. NEWTON TX 75966 ","ELECTION DAY","","1, 12, 17, 6"
