"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","AVONDALE BAPTIST CHURCH - FELLOWSHIP HALL","1405 HOYT ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","BLACKWELL SCHOOL - ADMINISTRATIVE  BUILDING BOARD ROOM","610 NORTH ALAMO AVE BLACKWELL TX 79506 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","BROADWAY BAPTIST CHURCH - EAST ENTRANCE ADULT SUNDAY SCHOOL CLASS","710 EAST 3RD ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","COUNTY CLERKS OFFICE SHARLA KEITH - COUNTY CLERKS OFFICE SHARLA KEITH","100 EAST 3RD ST. SUITE 108 SWEETWATER TX 79556 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","FIRST BAPTIST CHURCH ROSCOE - FELLOWSHIP HALL","401 MAIN STREET ROSCOE TX 79545 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","HIGHLAND HEIGHTS UNITED METHODIST CHURCH - FELLOWSHIP HALL","1801 LAMAR ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","LAMAR STREET BAPTIST CHURCH - FELLOWSHIP HALL","513 LAMAR ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","MARYNEAL COMMUNITY CENTER - MAIN LOBBY","210 WALNUT ST MARYNEAL TX 79535 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","NOLAN/DIVIDE COMMUNITY CENTER - MAIN DINING AREA","1742 FM 126 NOLAN TX 79537 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","NOLAN","TRINITY BAPTIST CHURCH - BANQUET HALL","1506 SANTA FE ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","AVONDALE BAPTIST CHURCH - FELLOWSHIP HALL","1405 HOYT ST SWEETWATER TX 79556 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","AVONDALE BAPTIST CHURCH - FELLOWSHIP HALL","1405 HOYT ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","BLACKWELL SCHOOL - ADMINISTRATIVE  BUILDING BOARD ROOM","610 NORTH ALAMO AVE BLACKWELL TX 79506 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","BLACKWELL SCHOOL - ADMINISTRATIVE  BUILDING BOARD ROOM","610 NORTH ALAMO AVE BLACKWELL TX 79506 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","BROADWAY BAPTIST CHURCH - EAST ENTRANCE ADULT SUNDAY SCHOOL CLASS","710 EAST 3RD ST SWEETWATER TX 79556 ","EARLY VOTING","",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","BROADWAY BAPTIST CHURCH - EAST ENTRANCE ADULT SUNDAY SCHOOL CLASS","710 EAST 3RD ST SWEETWATER TX 79556 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","COUNTY CLERKS OFFICE SHARLA KEITH - COUNTY CLERKS OFFICE SHARLA KEITH","100 EAST 3RD ST. SUITE 108 SWEETWATER TX 79556 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","NOLAN","FIRST BAPTIST CHURCH ROSCOE - FELLOWSHIP HALL","401 MAIN STREET ROSCOE TX 79545 ","EARLY VOTING","",""
