"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","OCHILTREE","CHURCH OF CHRIST - PARISH HALLDEM","1301 S JEFFERSON PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","OCHILTREE","CITY HALL - CITY HALLDEM","110 S ASH PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","OCHILTREE","COUNTY CLERKS OFFICE - COURTHOUSEDEM","511 S MAIN PERRYTON TX 79070 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","OCHILTREE","EXPO CENTER - EXPO CENTERDEM","402 EXPO DR PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","OCHILTREE","VICTORY FAMILY CHURCH - LOBBYDEM","2322 MAIN PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","OCHILTREE","CHURCH OF CHRIST - PARISH HALLREP","1301 S JEFFERSON PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","OCHILTREE","CITY HALL - CITY HALLREP","110 S ASH PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","OCHILTREE","COUNTY CLERKS OFFICE - COURTHOUSEREP","511 S MAIN PERRYTON TX 79070 ","EARLY VOTING","02/18/2020-02/21/2020 08:30 AM-05:00 PM; 02/24/2020-02/28/2020 08:30 AM-05:00 PM","1, 2, 3, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","OCHILTREE","EXPO CENTER - EXPO CENTERREP","402 EXPO DR PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","OCHILTREE","VICTORY FAMILY CHURCH - LOBBYREP","2322 MAIN PERRYTON TX 79070 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
