"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","ALEXANDER HOMES SENIOR CITIZENS CENTER - MAIN OFFICE","2023 N 4TH ST ORANGE TX 77630 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","BRIDGE CITY HIGH SCHOOL - GYM (ED)","2690 TEXAS AVE BRIDGE CITY TX 77611 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","24"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","BRIDGE CITY KC HALL - LARGE ROOM","495 WEST ROUNDBUNCH RD BRIDGE CITY TX 77611 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","26"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","BRIDGE CITY PUBLIC WORKS BUILDING - FRONT ROOM (ED)","220 NITSCHE ST BRIDGE CITY TX 77611 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","25"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","COVE BAPTIST CHURCH - FELLOWSHIP HALL","1005 DUPONT DR ORANGE TX 77630 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","LCM ADMINISTRATION BUILDING - FOYER (ED)","6586 FM 1130 ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","MASONIC TEMPLE - FOYER","3528 SOUTH ST ORANGE TX 77630 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","MAURICEVILLE ASSEMBLY OF GOD - ROOM (ED)","11477 HWY 12 ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","31"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","MAURICEVILLE FIRE DEPARTMENT - MEETING ROOM (ED)","10691 N HWY 62 ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ORANGE","NORTH ORANGE PENTECOSTAL CHURCH - MEETING ROOM (ED)","7144 N HWY 87 ORANGE TX 77632 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
