"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","BOVINA EMS BUILDING - MAIN ENTRANCE","109 3RD ST. BOVINA TX 79009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201, 303"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","COUNTY CLERK OFFICE - COURTHOUSE","401 3RD STREET FARWELL TX 79325 ","EARLY VOTING","02/18/2020-02/20/2020 08:30 AM-05:00 PM; 02/21/2020-02/21/2020 08:30 AM-03:00 PM; 02/24/2020-02/27/2020 08:30 AM-05:00 PM; 02/28/2020-02/28/2020 08:30 AM-03:00 PM","101, 201, 202, 203, 301, 302, 303, 401, 402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","FARWELL COMMUNITY CENTER - MAIN ENTRANCE","207 9TH ST. FARWELL TX 79325 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","FRIONA SENIOR CITIZENS' CENTER - FRIONA SENIOR CITIZENS' CENTER","1410 WASHIN FRIONA TX 79035 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 202, 402"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","LAZBUDDIE METHODIST CHURCH - FELLOWSHIP HALL","665 FM 1172 LAZBUDDIE TX 79053 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","OKLAHOMA LANE METHODIST CHURCH - MAIN ENTRANCE","645 FM 1731 FARWELL TX 79325 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PARMER","RHEA COMMUNITY CENTER - MAIN ENTRANCE","307 FM 2013 FRIONA TX 79035 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","BOVINA EMS BUILDING - MAIN ENTRANCE","109 3RD ST. BOVINA TX 79009 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","201, 303"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","COUNTY CLERK OFFICE - COURTHOUSE","401 3RD STREET FARWELL TX 79325 ","EARLY VOTING","02/18/2020-02/20/2020 08:30 AM-05:00 PM; 02/21/2020-02/21/2020 08:30 AM-03:00 PM; 02/24/2020-02/27/2020 08:30 AM-05:00 PM; 02/28/2020-02/28/2020 08:30 AM-03:00 PM","101, 201, 202, 203, 301, 302, 303, 401, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","FARWELL COMMUNITY CENTER - MAIN ENTRANCE","207 9TH ST. FARWELL TX 79325 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","301"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","FRIONA SENIOR CITIZENS' CENTER - FRIONA SENIOR CITIZENS' CENTER","1410 WASHIN FRIONA TX 79035 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 202, 402"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","LAZBUDDIE METHODIST CHURCH - FELLOWSHIP HALL","665 FM 1172 LAZBUDDIE TX 79053 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","401"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","OKLAHOMA LANE METHODIST CHURCH - MAIN ENTRANCE","645 FM 1731 FARWELL TX 79325 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","302"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","PARMER","RHEA COMMUNITY CENTER - MAIN ENTRANCE","307 FM 2013 FRIONA TX 79035 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","203"
