"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","COYANOSA COMMUNITY CENTER - COYANOSA COMMUNITY CENTER","4646 S. FRANK ST. COYANOSA TX 79730 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","FORT STOCKTON PUBLIC LIBRARY - FORT STOCKTON PUBLIC LIBRARY","500 N. WATER SOUTH ENTRANCE FT. STOCKTON TX 79735 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","IMPERIAL COMMUNITY CENTER - IMPERIAL COMMUNITY CENTER","208 ALLISON AVE. IMPERIAL TX 79743 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 2, 3, 4, 5, 6, 7, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","IMPERIAL COMMUNITY CENTER - IMPERIAL COMMUNITY CENTER","208 ALLISON AVE. IMPERIAL TX 79743 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","IRAAN SENIOR CITIZEN CENTER - IRAAN SENIOR CITIZEN CENTER","508 S. FARR IRAAN TX 79735 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 2, 3, 4, 5, 6, 7, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","IRAAN SENIOR CITIZEN CENTER - IRAAN SENIOR CITIZEN CENTER","508 S. FARR IRAAN TX 79735 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","OLD SCHOOLHOUSE - OLD SCHOOLHOUSE","HWY 11 GIRVIN TX 79740 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","PECOS COUNTY ANNEX - FORT STOCKTON","200 S NELSON FORT STOCKTON TX 79735 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/24/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 2, 3, 4, 5, 6, 7, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","PECOS COUNTY ANNEX - FORT STOCKTON","200 S NELSON FORT STOCKTON TX 79735 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","PECOS","RURAL COMMUNITY HALL - RURAL COMMUNITY HALL","211 W. 44TH LANE FT. STOCKTON TX 79735 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","7"
