"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","ANNEX - ELECTION ROOM","4320 S. WESTERN AMARILLO TX 79110 ","EARLY VOTING","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","ANNEX - ELECTION ROOM","4320 S. WESTERN AMARILLO TX 79110 ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","ARDEN ROAD BAPTIST CHURCH - GYMNASIUM","6701 ARDEN ROAD AMARILLO TX 79109 ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","CENTRAL BAPTIST CHURCH - GYM","1601 SW 58TH AMARILLO TX 79110 ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","COMANCHE TRAIL CHURCH OF CHRIST - LIBRARY","2700 SE 34TH AVENUE AMARILLO TX 79118 ","EARLY VOTING","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","COULTER ROAD BAPTIST CHURCH - CENTRAL WEST ENTRANCE HALLWAY","4108 S COULTER AMARILLO TX ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","COWBOY CHURCH - FOYER","8827 S. WASHINGTON AMARILLO TX 79118 ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","OASIS SOUTHWEST BAPTIST CHURCH - GYM","8201 CANYON DR AMARILLO TX ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","RANDALL COUNTY FIRE DEPT # 2 - CONFERENCE ROOM","9451 FM 2186 AMARILLO TX 79919 ","ELECTION DAY","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RANDALL","RANDALL COUNTY JUSTICE CENTER - ELECTION ROOM","2309 RUSSELL LONG BLVD. CANYON TX 79015 ","EARLY VOTING","","110, 111, 112, 114, 123, 208, 220, 222, 227, 228, 230, 305, 306, 307, 309, 324, 325, 415, 418, 421, 426, 429"
