"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","1ST BAPTIST CHURCH AVERY (19) - AVERY 1ST BAPTIST CHURCH","390 UTAH ST AVERY TX 75554 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","27, 30"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","ANNONA METHODIST CHURCH - ANNONA METHODIST CHURCH","188 ROBERTS RD ANNONA TX 75550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","28, 29"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","AVERY METHODIST CHURCH - FELLOWSHIP HALL","390 W. ALABAMA ST AVERY TX 75554 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19, 20, 21"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","BOGATA COMMUNITY CENTER - BOGATA COMMUNITY CENTER","201 NW 2ND  BOGATA TX 75417 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 5, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","CITY HALL CLARKSVILLE - CLARKSVILLE CITY HALL","800 W MAIN ST CLARKSVILLE  TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","31, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","CLARKSVILLE 1ST BAPTIST CHURCH - CLARKSVILLE 1ST BAPTIST CHURCH","1501 US HWY 82 BYPASS CLARKSVILLE TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","COURTHOUSE ANNEX - EARLY","200 NORTH WALNUT CLARKSVILLE TX 75426 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 10:00 AM-04:00 PM; 02/23/2020-02/23/2020 12:00 PM-04:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 13, 14, 17, 18, 19, 2, 20, 21, 24, 27, 28, 29, 3, 30, 31, 32, 4, 5, 7, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","DETROIT FIRST BAPT CHURCH - DETROIT FIRST BAPT CHURCH","275 W GARNER ST DETROIT TX 75436 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13, 14"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","LEESVILLE BAPTIST CHURCH - LEESVILLE BAPTIST CHURCH","11474 FM 195 BAGWELL TX 75412 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","17, 18"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","LONESTAR METHODIST CHURCH - FELLOWSHIP HALL","5960 HWY 37 S CLARKSVILLE TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 11, 7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RED RIVER","RED RIVER COUNTY LIBRARY - RED RIVER COUNTY LIBRARY","315 N WALNUT ST CLARKSVILLE TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","24, 3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","1ST BAPTIST CHURCH AVERY (19) - AVERY 1ST BAPTIST CHURCH","390 UTAH ST AVERY TX 75554 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","27, 30"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","ANNONA METHODIST CHURCH - ANNONA METHODIST CHURCH","188 ROBERTS RD ANNONA TX 75550 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","28, 29"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","AVERY METHODIST CHURCH - FELLOWSHIP HALL","390 W. ALABAMA ST AVERY TX 75554 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19, 20, 21"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","BOGATA COMMUNITY CENTER - BOGATA COMMUNITY CENTER","201 NW 2ND  BOGATA TX 75417 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 5, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","CITY HALL CLARKSVILLE - CLARKSVILLE CITY HALL","800 W MAIN ST CLARKSVILLE  TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","31, 4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","CLARKSVILLE 1ST BAPTIST CHURCH - CLARKSVILLE 1ST BAPTIST CHURCH","1501 US HWY 82 BYPASS CLARKSVILLE TX 75426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","RED RIVER","COURTHOUSE ANNEX - EARLY","200 NORTH WALNUT CLARKSVILLE TX 75426 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/19/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 07:00 AM-07:00 PM; 02/21/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 10:00 AM-04:00 PM; 02/23/2020-02/23/2020 12:00 PM-04:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/26/2020 08:00 AM-05:00 PM; 02/27/2020-02/27/2020 07:00 AM-07:00 PM; 02/28/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 13, 14, 17, 18, 19, 2, 20, 21, 24, 27, 28, 29, 3, 30, 31, 32, 4, 5, 7, 9"
