"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","CARLISLE - COUNTY VOTING BOX","2541 HWY 42 S PRICE TX 75687 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","CENTRE PRESBYTERIAN CHURCH - FELLOWSHIP HALL","8531 FM 2011 LONGVIEW TX 75603 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","CHANDLER ST CHURCH OF CHRIST - FELLOWSHIP HALL","2700 CHANDLER ST KILGORE TX 75662 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","COUNTY BARN PCT 4 - MAIN OFFICE","13612 FM 1798 W HENDERSON TX 75654 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","HENDERSON CIVIC CENTER - EVENT ROOM","1005 HWY 64 W HENDERSON TX 75654 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","MINDEN - COUNTY VOTING BOX","11389 CR 317 S MINDEN TX 75680 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","MT ENTERPRISE COMMUNITY CENTER - MT ENTERPRISE COMMUNITY CENTER","300 NW 2ND ST MT ENTERPRISE TX 75681 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","NEW LONDON COMMUNITY CENTER - NEW LONDON COMMUNITY CENTER","125 TYNER STREET NEW LONDON TX 75682 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","OVERTON COMMUNITY CENTER - OVERTON COMMUNITY CENTER","505 S MEADOWBROOK DR OVERTON TX 75684 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","RUSK","RUSK COUNTY ELECTIONS - MAIN OFFICE","204 N MAIN HENDERSON TX 75652 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/22/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","111, 112, 113, 114, 201, 212, 213, 214, 215, 302, 303, 314, 315, 316, 317, 318, 319, 404, 405, 416, 417, 418"
