"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","BETHANY BAPTIST CHURCH - FELLOWSHIP BUILDING","7078 STATE HWY 87 MILAM TX 75959 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","BRONSON FIRST BAPTIST CHURCH - FELLOWSHIP ROOM","207 COOPER ST. BRONSON TX 75930 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","BROOKELAND MISS. BAPT. CHURCH - ENTRANCE HALLWAY","300 LOOP 149 BROOKELAND TX 75931 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","HEMPHILL FIRST BAPTIST CHURCH LIFE CENTER - FELLOWSHIP AND REC. ROOM","301 MANN ST. HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","PINELAND VOL. FIRE DEPT. - FRONT ENTERANCE FRONT MEETING ROOM","205 TEMPLE AVE. PINELAND TX 75968 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","ROSEVINE CHURCH OF GOD - LIFE CENTER","6455 STATE HWY 103 BRONSON TX 75930 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","SABINE COUNTY EARLY VOTING ROOM - SABINE CO ADMIN BUILDING","280 MAIN ST HEMPHILL TX 75948 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:00 PM; 02/22/2020-02/22/2020 07:00 AM-03:00 PM; 02/24/2020-02/28/2020 08:00 AM-04:00 PM","1, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","THOMAS JOHNSON CHURCH OF CHRIST - FELLOWSHIP ROOM","840 THOMAS JOHNSON RD. HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SABINE","YELLOWPINE BAPTIST CHURCH - FELLOWSHIP HALL","125 SCRAPPIN VALLEY HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","BETHANY BAPTIST CHURCH - FELLOWSHIP BUILDING","7078 STATE HWY 87 MILAM TX 75959 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","BRONSON FIRST BAPTIST CHURCH - FELLOWSHIP ROOM","207 COOPER ST. BRONSON TX 75930 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","BROOKELAND MISS. BAPT. CHURCH - ENTRANCE HALLWAY","300 LOOP 149 BROOKELAND TX 75931 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","HEMPHILL FIRST BAPTIST CHURCH LIFE CENTER - FELLOWSHIP AND REC. ROOM","301 MANN ST. HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","PINELAND VOL. FIRE DEPT. - FRONT ENTERANCE FRONT MEETING ROOM","205 TEMPLE AVE. PINELAND TX 75968 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","ROSEVINE CHURCH OF GOD - LIFE CENTER","6455 STATE HWY 103 BRONSON TX 75930 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","SABINE COUNTY EARLY VOTING ROOM - SABINE CO ADMIN BUILDING","280 MAIN ST HEMPHILL TX 75948 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-04:00 PM; 02/22/2020-02/22/2020 07:00 AM-03:00 PM; 02/24/2020-02/28/2020 08:00 AM-04:00 PM","1, 2, 3, 4, 5, 6, 7, 8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","THOMAS JOHNSON CHURCH OF CHRIST - FELLOWSHIP ROOM","840 THOMAS JOHNSON RD. HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SABINE","YELLOWPINE BAPTIST CHURCH - FELLOWSHIP HALL","125 SCRAPPIN VALLEY HEMPHILL TX 75948 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
