"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","BEAR CREEK VFD - OFFICE","11550 FM 1725 CLEVELAND TX 77328 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","EA BLDG - EA BLDG","51 E PINE AVE COLDSPRING TX 77331 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 08:00 AM-04:30 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/24/2020-02/24/2020 08:00 AM-04:30 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/27/2020 08:00 AM-04:30 PM; 02/28/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","EA BLDG - EA BLDG","51 E PINE AVE COLDSPRING TX 77331 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","EVERGREEN COMMUNITY CENTER - EVERGREEN COMMUNITY CENTER","7550 HWY 150 W COLDSPRING TX 77331 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","MERCY WATER SUPPLY CORP. - MERCY (COUNTY)","51 PERRY LN CLEVELAND TX 77328 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","OAKHURST FIRE DEPT. - OAKHURST FIRE DEPT.","990 HWY 190 OAKHURST TX 77359 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","PRECINCT 4 ANNEX - ELECTION DAY","221 BOAT LAUNCH RD POINT BLANK TX 77364 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SAN JACINTO","SHEPHERD COMMUNITY CENTER - ELECTION DAY","10251 STATE HWY 150 SHEPHERD TX 77371 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SAN JACINTO","BEAR CREEK VFD - OFFICE","11550 FM 1725 CLEVELAND TX 77328 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SAN JACINTO","EA BLDG - EA BLDG","51 E PINE AVE COLDSPRING TX 77331 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/21/2020 08:00 AM-04:30 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/24/2020-02/24/2020 08:00 AM-04:30 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/27/2020 08:00 AM-04:30 PM; 02/28/2020-02/28/2020 07:00 AM-07:00 PM","1, 10, 13, 14, 2, 3, 4, 5, 6, 7, 8"
