"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","ARMORY - ARMORY","3000 TOWLE PARK ROAD SNYDER TX 79549 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","HERMLEIGH HIGH SCHOOL - HERMLEIGH HIGH SCHOOL","TX ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","IRA ROY SALLEE GYM - ROY SALLEE GYM","6143 W FM 1606 IRA TX 79527 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","NORTH SIDE COLISEUM - NORTH SIDE COLISEUM","900 E. COLISEUM DR. SNYDER TX 79549 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","SCURRY COUNTY COURTHOUSE - 1806 25TH ST.","1806 25TH STREET SNYDER TX 79549 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","SCURRY COUNTY COURTHOUSE - 1806 25TH ST.","1806 25TH STREET SNYDER TX 79549 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","SCURRY COUNTY LIBRARY - SCURRY CO LIBRARY","1916 23RD STREET SNYDER TX 79549 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","SCURRY","SOUTH SIDE COLISEUM - SOUTH SIDE COLISEUM","900 E. COLISEUM DR. SNYDER TX 79549 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","ARMORY - ARMORY","3000 TOWLE PARK ROAD SNYDER TX 79549 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","HERMLEIGH HIGH SCHOOL - HERMLEIGH HIGH SCHOOL","TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","IRA ROY SALLEE GYM - ROY SALLEE GYM","6143 W FM 1606 IRA TX 79527 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","NORTH SIDE COLISEUM - NORTH SIDE COLISEUM","900 E. COLISEUM DR. SNYDER TX 79549 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","SCURRY COUNTY COURTHOUSE - 1806 25TH ST.","1806 25TH STREET SNYDER TX 79549 ","EARLY VOTING","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","SCURRY COUNTY COURTHOUSE - 1806 25TH ST.","1806 25TH STREET SNYDER TX 79549 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","SCURRY COUNTY LIBRARY - SCURRY CO LIBRARY","1916 23RD STREET SNYDER TX 79549 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","SCURRY","SOUTH SIDE COLISEUM - SOUTH SIDE COLISEUM","900 E. COLISEUM DR. SNYDER TX 79549 ","ELECTION DAY","","10, 11, 12, 13, 14, 15, 5, 6, 7, 8, 9"
