"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","ABILENE CITY HALL - EAST ENTRANCE, MAIN LOBY","555 WALNUT STREET ABILENE TX 79601 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","BUFFALO GAP CHURCH OF CHRIST - FELLOWSHIP HALL","741 LITEL STREET BUFFALO GAP TX 79508 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","CHURCH OF CHRIST S.11TH AND WILLIS - WEST BUILDING, MULTI-PURPOSE ROOM","3333 SOUTH 11TH STREET ABILENE TX 79605 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","ELM VALLEY COMMUNITY CHURCH - FELLOWSHIP HALL","142 CR 675 TUSCOLA TX 79562 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","ELMCREST BAPTIST CHURCH - FELLOWSHIP HALL","517 NORTH PIONEER DRIVE ABILENE TX 79603 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","FIRST BAPTIST CHURCH - MERKEL - FAMILY LIFE CENTER","307 LOCUST MERKEL TX 79563 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","FIRST BAPTIST CHURCH - TUSCOLA - FAMILY LIFE CENTER","632 KENT STREET TUSCOLA TX 79562 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","HILLCREST CHURCH OF CHRIST - GYM","650 EAST AMBLER AVE. ABILENE TX 79601 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","LAWN BAPTIST CHURCH - FAMILY LIFE CENTER","518 AVENUE D LAWN TX 79530 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TAYLOR","MALL OF ABILENE - CORRIDOR AT MOVIE THEATRE ENTRANCE","4310 BUFFALO GAP ROAD ABILENE TX 79606 ","EARLY VOTING","02/18/2020-02/21/2020 10:00 AM-07:00 PM; 02/22/2020-02/22/2020 09:00 AM-09:00 PM; 02/23/2020-02/23/2020 12:00 PM-05:00 PM; 02/24/2020-02/28/2020 09:00 AM-09:00 PM","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 201, 202, 203, 204, 205, 206, 207, 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408, 409"
