"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","THROCKMORTON","ELBERT BAPTIST CHURCH - FELLOWSHIP HALL","6290 HWY 79 ELBERT TX 76372 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","THROCKMORTON","STOMPING GROUNDS - THROCKMORTON","131 N. MINTER AVE THROCKMORTON TX 76483 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","THROCKMORTON","THE DEPOT LIBRARY - DEPOT LIBRARY","120 EAST CHESTNUT THROCKMORTON TX 76483 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","THROCKMORTON","THROCKMORTON COUNTY ELECTIONS OFFICE - 121 N. MINTER AVE","121 N MINTER AVE THROCKMORTON TX 76483 ","EARLY VOTING","02/18/2020-02/28/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","THROCKMORTON","WOODSON TOWN HALL - WOODSON TOWN HALL","221 N. HWY. 183 WOODSON TX 76491 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","THROCKMORTON","ELBERT BAPTIST CHURCH - FELLOWSHIP HALL","6290 HWY 79 ELBERT TX 76372 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","THROCKMORTON","STOMPING GROUNDS - THROCKMORTON","131 N. MINTER AVE THROCKMORTON TX 76483 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","THROCKMORTON","THE DEPOT LIBRARY - DEPOT LIBRARY","120 EAST CHESTNUT THROCKMORTON TX 76483 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","THROCKMORTON","THROCKMORTON COUNTY ELECTIONS OFFICE - 121 N. MINTER AVE","121 N MINTER AVE THROCKMORTON TX 76483 ","EARLY VOTING","02/18/2020-02/28/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","THROCKMORTON","WOODSON TOWN HALL - WOODSON TOWN HALL","221 N. HWY. 183 WOODSON TX 76491 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1, 2, 3003, 4005, 4006"
