"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","ARGO COMMUNITY CENTER - ARGO COMMUNITY CENTER","6273 FM 1001 MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","BLODGETT FIRE STATION4 - BLODGETT FIRE STATION4","75CR 2850 PITTSBURG TX 75686 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","BRIDGES CHAPEL COMMUNITY CENTER - BRIDGES CHAPEL COMMUNITY CENTER","215 CR 1465 MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","CALVARY BAPTIST CHURCH - CALVARY BAPTIST CHURCH","500 CRAWFORD ST TALCO TX 00000 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","CIVIC CENTER - CIVIC CENTER","1620 N JEFFERSON MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","COOKVILLE FIRE STATION - COOKVILLE FIRE STATION","814 CR 4045 COOKVILLE TX 75558 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","DAV BUILDING - DAV BUILDING","1406 N WASHINGTON MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","FARMER'S ACADEMY METHODIST CHURCH - FARMER'S ACADEMY METHODIST CHURCH","87 CR 1030 HWY 67 W MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","18"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","LIVING TRUTH CHURCH - LIVING TRUTH CHURCH","523 DUNN AVE MT. PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","19"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TITUS","LOGOS CHRISTIAN CENTER - LOGOS CHRISTIAN CENTER","804 W 5TH ST MT PLEASANT TX 75455 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","17"
