"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","ANGELO BAPTIST CHURCH - LOBBY","3506 SHERWOOD WAY SAN ANGELO TX 76901 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","BELMORE BAPTIST CHURCH - FELLOWSHIP HALL","1214 SOUTH BELL STREET SAN ANGELO TX 76903 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","CALVARY BAPTIST CHURCH - FELLOWSHIP CENTER","2401 ARMSTRONG STREET SAN ANGELO TX 76903 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","CELEBRATION CHURCH - FOYER","2639 SUNSET DR SAN ANGELO TX 76904 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","CHRISTOVAL COMMUNITY CENTER - 20022 MAIN STREET","20022 MAIN STREET CHRISTOVAL TX 76935 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","CONCHO VALLEY TRANSIT DISTRICT - ANNEX BUILDING","510 NORTH CHADBOURNE STREET SAN ANGELO TX 76903 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","EVM - 113 W. BEAUREGARD AVE.","113 W. BEAUREGARD SAN ANGELO TX 76903 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 12:30 PM-05:30 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","GRAPE CREEK ISD - GENE MARSH BOARDROOM","8207 NORTH HWY 87 SAN ANGELO TX 76901 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","KEATING PAINT & BODY - RECEPTION AREA","5050 NORTH CHADBOURNE STREET SAN ANGELO TX 76903 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","MHMR - ADMIN BLDG. JACK RAY ROOM","1501 W. BEAUREGARD AVE. SAN ANGELO TX 76903 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TOM GREEN","PAULANN BAPTIST CHURCH - THE CHAPEL","2531 SMITH BOULEVARD SAN ANGELO TX 76905 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","106, 107, 108, 112, 114, 124, 137, 144, 146, 213, 215, 225, 228, 230, 241, 304, 305, 306, 308, 319, 327, 348, 351, 358, 401, 402, 420, 421, 422, 423, 424, 434, 435, 436"
